"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"spleen",157,108,162,255,"SCT","123037004","Anatomical Structure","SCT","78961009","Spleen","","","","","","","","",""
2,"right kidney",185,102,83,255,"SCT","123037004","Anatomical Structure","SCT","64033007","Kidney","SCT","24028007","Right","","","","","",""
3,"left kidney",185,102,83,255,"SCT","123037004","Anatomical Structure","SCT","64033007","Kidney","SCT","7771000","Left","","","","","",""
4,"gallbladder",139,150,98,255,"SCT","123037004","Anatomical Structure","SCT","28231008","Gallbladder","","","","","","","","",""
5,"liver",221,130,101,255,"SCT","123037004","Anatomical Structure","SCT","10200004","Liver","","","","","","","","",""
6,"stomach",216,132,105,255,"SCT","123037004","Anatomical Structure","SCT","69695003","Stomach","","","","","","","","",""
7,"pancreas",249,180,111,255,"SCT","123037004","Anatomical Structure","SCT","15776009","Pancreas","","","","","","","","",""
8,"trachea and bronchus",178,222,248,255,"SCT","123037004","Anatomical Structure","SCT","110726009","Trachea and bronchus","","","","","","","","",""
9,"upper lobe of left lung",172,138,115,255,"SCT","123037004","Anatomical Structure","SCT","45653009","Upper lobe of lung","SCT","7771000","Left","","","","","",""
10,"lower lobe of left lung",224,186,162,255,"SCT","123037004","Anatomical Structure","SCT","90572001","Lower lobe of lung","SCT","7771000","Left","","","","","",""
11,"upper lobe of right lung",172,138,115,255,"SCT","123037004","Anatomical Structure","SCT","45653009","Upper lobe of lung","SCT","24028007","Right","","","","","",""
12,"middle lobe of right lung",202,164,140,255,"SCT","123037004","Anatomical Structure","SCT","72481006","Middle lobe of right lung","","","","","","","","",""
13,"lower lobe of right lung",224,186,162,255,"SCT","123037004","Anatomical Structure","SCT","90572001","Lower lobe of lung","SCT","24028007","Right","","","","","",""
14,"left pleural effusion",0,0,255,255,"SCT","123037004","Anatomical Structure","SCT","50016007","Costal cartilage","","","","","","","","",""
15,"right pleural effusion",0,85,255,255,"SCT","123037004","Anatomical Structure","SCT","50016007","Costal cartilage","","","","","","","","",""
16,"esophagus",211,171,143,255,"SCT","123037004","Anatomical Structure","SCT","32849002","Esophagus","","","","","","","","",""
17,"thyroid",220,160,30,255,"SCT","123037004","Anatomical Structure","SCT","69748006","Thyroid gland","","","","","","","","",""
18,"aorta",224,97,76,255,"SCT","123037004","Anatomical Structure","SCT","15825003","Aorta","","","","","","","","",""
19,"superior vena cava",0,141,226,255,"SCT","123037004","Anatomical Structure","SCT","48345005","Superior vena cava","","","","","","","","",""
20,"inferior vena cava",0,151,206,255,"SCT","123037004","Anatomical Structure","SCT","64131007","Inferior vena cava","","","","","","","","",""
21,"portal vein and splenic vein",0,151,206,255,"SCT","123037004","Anatomical Structure","SCT","110765007","Portal vein and splenic vein","","","","","","","","",""
22,"spine",220,245,20,255,"SCT","123037004","Anatomical Structure","SCT","50016007","Costal cartilage","","","","","","","","",""
23,"pulmonary artery",0,122,171,255,"SCT","123037004","Anatomical Structure","SCT","81040000","Pulmonary artery","","","","","","","","",""
24,"pulmonary vein",195,45,25,255,"SCT","123037004","Anatomical Structure","SCT","122972007","Pulmonary vein","","","","","","","","",""
25,"thoracic cavity",244,214,49,255,"SCT","123037004","Anatomical Structure","SCT","122972007","Pulmonary vein","","","","","","","","",""
26,"heart",255,0,0,255,"SCT","123037004","Anatomical Structure","SCT","80891009","Heart","","","","","","","","",""
27,"bone",194,194,0,255,"SCT","123037004","Anatomical Structure","SCT","80891009","Heart","","","","","","","","",""
28,"muscle",146,0,0,255,"SCT","123037004","Anatomical Structure","SCT","80891009","Heart","","","","","","","","",""
