product_id,role_code,role_fit,notes
PRD-A6CF0E2BA4,FLEX_SCOPE_SINGLE_USE,Primary,
PRD-F2C87C4908,FLEX_SCOPE_SINGLE_USE,Primary,
PRD-E907C0EB2E,FLEX_SCOPE_SINGLE_USE,Primary,
PRD-78DC6578D9,IPC_INSERTION_KIT,Primary,
PRD-4423366610,IPC_INSERTION_KIT,Primary,
PRD-B2B0419598,IPC_DRAINAGE_KIT,Primary,
PRD-41BA4FDFE6,IPC_DRAINAGE_KIT,Primary,
PRD-E2A3EFD37E,IPC_INSERTION_KIT,Primary,
PRD-B9381E6DD2,THORACENTESIS_KIT,Primary,
PRD-31DA7C7FF7,THORACENTESIS_KIT,Primary,
PRD-9371C2567D,THORACENTESIS_KIT,Primary,
PRD-D77666DBD4,THORACENTESIS_KIT,Primary,
PRD-C2C49B88CC,THORACENTESIS_KIT,Primary,
PRD-2F7DDD739E,BRONCH_REPROCESSING_KIT,Primary,
PRD-3ED9411F2F,BRONCH_REPROCESSING_KIT,Primary,
PRD-B1203FF71F,FOREIGN_BODY_BASKET,Primary,
PRD-4E9069C30F,FOREIGN_BODY_BASKET,Primary,
PRD-9844E2B578,FOREIGN_BODY_FORCEPS_FLEX,Primary,
PRD-602AA2F147,PULMONARY_GUIDEWIRE,Primary,
PRD-8DDD9F07C0,BIOPSY_FORCEPS_FLEX,Primary,
PRD-72889F9CE3,BIOPSY_FORCEPS_FLEX,Primary,
PRD-BF2EC6AB5E,BIOPSY_FORCEPS_FLEX,Primary,
PRD-27BF9F087E,BIOPSY_FORCEPS_FLEX,Primary,
PRD-A83C7ADE90,BIOPSY_FORCEPS_FLEX,Primary,
PRD-217AB10438,BIOPSY_FORCEPS_FLEX,Primary,
PRD-C2875D269C,EBUS_MINIFORCEPS,Primary,
PRD-2F3F39DBA3,CYTOLOGY_BRUSH,Primary,
PRD-81331808E3,CYTOLOGY_BRUSH,Primary,
PRD-1239820D80,CYTOLOGY_BRUSH,Primary,
PRD-251B275384,CYTOLOGY_BRUSH,Primary,
PRD-972FD7E1D0,FLEX_SCOPE_SINGLE_USE,Primary,
PRD-BF2B39F2F3,FLEX_SCOPE_SINGLE_USE,Primary,
PRD-27506A7423,FLEX_SCOPE_SINGLE_USE,Primary,
PRD-5F801B5A8E,PULMONARY_GUIDEWIRE,Primary,
PRD-94E33ED243,AIRWAY_BALLOON_DILATOR,Primary,
PRD-B8BB774CB6,AIRWAY_BALLOON_DILATOR,Primary,
PRD-BDC093DB61,AIRWAY_BALLOON_DILATOR,Primary,
PRD-9E6034F109,AIRWAY_BALLOON_DILATOR,Primary,
PRD-2B5132F8C5,AIRWAY_BALLOON_DILATOR,Primary,
PRD-189E7EF27A,AIRWAY_BALLOON_DILATOR,Primary,
PRD-8A08163BA1,INFLATION_DEVICE,Primary,
PRD-35EC8EE328,INFLATION_DEVICE,Primary,
PRD-61915862CE,INFLATION_DEVICE,Primary,
PRD-EB513BCB63,EBUS_NEEDLE_FNB,Primary,
PRD-D826F63F9A,EBUS_NEEDLE_FNB,Primary,
PRD-DF1D438D54,EBUS_NEEDLE_FNB,Primary,
PRD-E6ED309802,EBUS_NEEDLE_FNB,Primary,
PRD-2302DA77DA,EBUS_NEEDLE_FNA,Primary,
PRD-73BBBA8747,EBUS_NEEDLE_FNA,Primary,
PRD-DF30B54282,EBUS_NEEDLE_FNA,Primary,
PRD-5CBD1FD1E3,EBUS_NEEDLE_FNA,Primary,
PRD-F2007DBCC0,EBUS_NEEDLE_FNA,Primary,
PRD-E803315936,TBNA_NEEDLE,Primary,
PRD-152A0BFA3B,TBNA_NEEDLE,Primary,
PRD-F408B46806,TBNA_NEEDLE,Primary,
PRD-4F9AA3907F,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-4E186C03D4,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-2CCE54EDFD,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-4B4F1501DE,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-1D78A1B240,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-ED3D613CD2,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-B8971B556C,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-235F9C6FBD,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-27B1BEE50C,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-5A822E57C6,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-5798E6CA9D,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-6ED2313A9C,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-904D5B29E4,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-DCD9FB53E5,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-635895FDEF,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-AC9799F503,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-87B6764F8B,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-D1E3BFD9D3,AIRWAY_STENT_SEMS_UNCOVERED,Primary,
PRD-44704ED825,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-63EDA47A7D,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-237B24FE49,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-633391A337,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-05780FEDD7,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-EB0DE6C03A,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-071DA49031,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-3D8AEACE11,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-3296D18171,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-3402724B0E,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-91F4E30038,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-BB4B62BE1F,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-B53F0F16C8,AIRWAY_STENT_SEMS_COVERED,Primary,
