product_id,source_id,source_location,claim_type,verification_status,notes
PRD-00C13A59AA,SRC021,p. 10,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-00FC2A29AC,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-011BE58B2D,SRC030,p. 86,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-014290DBD6,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-019030A1C7,SRC030,p. 92,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-01F519887A,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-0221D4FEAA,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-023092D446,SRC021,pp. 53-55,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-02641F9166,SRC030,p. 88,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-027269F110,SRC021,p. 13,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-028E85E656,SRC001,p. 29,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-02AD30BCD3,SRC007,Therapeutic bronchoscopy,Candidate seed,Candidate - user seed; primary source required,
PRD-02BE5F7D32,SRC027,p. 8,Exact catalog entry,Verified - manufacturer catalog,
PRD-02DC164D77,SRC007,Perc trach and WLL,Candidate seed,Candidate - user seed; primary source required,
PRD-039120780F,SRC012,Respiratory 14.14 (PDF p. 129),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-03B374F7B8,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-0410844D48,SRC008,CSV row 18,Candidate seed,Candidate - user seed; primary source required,
PRD-0410844D48,SRC020,Fuhrman Pleural Drainage page,Catalog/SKU evidence,Verified product/SKU identity - exact configuration pending,Manufacturer page supports product/SKU identity; exact configuration remains to be verified.
PRD-042A57F191,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-042B406005,SRC001,p. 24,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-045F1D520E,SRC013,Y-shaped tracheal stent specifications (PDF p. 13),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-047902FA9C,SRC022,p. 2.02,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-04E1CAF545,SRC007,Perc trach and WLL,Candidate seed,Candidate - user seed; primary source required,
PRD-04F9EBA54C,SRC027,p. 7,Exact catalog entry,Verified - manufacturer catalog,
PRD-050EDDE140,SRC030,p. 93,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-05670F1B5F,SRC007,Therapeutic bronchoscopy!4,Candidate seed,Candidate - user seed; primary source required,
PRD-05670F1B5F,SRC018,"Cryoprobes for ERBECRYO 2, catalog p. 5",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-0577F2977F,SRC021,p. 23,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-05780FEDD7,SRC003,pp. 13-14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-05780FEDD7,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-05780FEDD7,SRC015,"Ordering information, pp. 2-3",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-0581A0B7D2,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-058B06F45B,SRC021,p. 20,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-063913C3C0,SRC013,Tracheal stent specifications (PDF p. 12),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-06811F5515,SRC030,p. 92,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-06D2F10782,SRC030,pp. 66-70,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-070884900C,SRC020,Multipurpose Plastic Tubing Adapter page,Catalog/SKU evidence,Verified product/SKU identity - exact configuration pending,Manufacturer page supports product/SKU identity; exact configuration remains to be verified.
PRD-071D7736C1,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-071DA49031,SRC003,pp. 13-14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-071DA49031,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-071DA49031,SRC015,"Ordering information, pp. 2-3",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-0790420A76,SRC012,Respiratory 14.05 (PDF p. 118),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-0790420A76,SRC029,p. 1,Exact catalog entry,Verified - manufacturer catalog and flyer,
