product_id,manufacturer_id,manufacturer,distributor,brand_family,product_name,catalog_number,global_part_number,reference_part_number,alternate_ids,gtin,primary_category,subcategory,product_kind,reuse_status,sterile_status,implantable,material,coverage,placement_method,size_display,diameter_mm,length_mm,french_size,gauge,working_length_cm,min_working_channel_mm,delivery_system_od_mm,package_uom,adult_peds,description,compatibility_text,verification_status,live_dropdown_status,primary_source_id,primary_source_location,source_as_of,availability_note,notes,spec_json
PRD-E907C0EB2E,MFR-C84E13E4FD,Ambu,,aScope,aScope 4 Broncho Large,478101000,,,,,Bronchoscopy platform,,Candidate,,,,,,,,,,,,,,,,,Seed states 5.8/2.8 mm.,,Candidate - user seed; primary source required,Hidden until verified,SRC007,Flexible bronchoscopy platforms!9,,,,{}
PRD-F2C87C4908,MFR-C84E13E4FD,Ambu,,aScope,aScope 4 Broncho Regular,477101000,,,,,Bronchoscopy platform,,Candidate,,,,,,,,,,,,,,,,,Seed states 5.0/2.2 mm.,,Candidate - user seed; primary source required,Hidden until verified,SRC007,Flexible bronchoscopy platforms!8,,,,{}
PRD-A6CF0E2BA4,MFR-C84E13E4FD,Ambu,,aScope,aScope 4 Broncho Slim,476101000,,,,,Bronchoscopy platform,,Candidate,,,,,,,,,,,,,,,,,Seed states 3.8/1.2 mm and minimum DLT 35 Fr.,,Candidate - user seed; primary source required,Hidden until verified,SRC007,Flexible bronchoscopy platforms!7,,,,{}
PRD-41BA4FDFE6,MFR-E3F284CAE2,BD,,,"PleurX Drainage Kit 1,000 mL",50-7510,,,,,Pleural procedures,IPC Drainage Accessory,Candidate,,,,,,,,,,,,,,,,Adult,"1,000 mL bottle",,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,Prime Vendor: Yes; ECAT: Yes (unverified compiled claims),,{}
PRD-B2B0419598,MFR-E3F284CAE2,BD,,,PleurX Drainage Kit 500 mL,50-7500B,,,,,Pleural procedures,,Candidate,,,,,,,,,,,,,,,,,500 mL bottle,,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,,,{}
PRD-78DC6578D9,MFR-E3F284CAE2,BD,,,PleurX Pleural Catheter Kit,50-7000B,,,,,Pleural procedures,Indwelling Pleural Catheter,Candidate,,,,,,,,,,,,,,,,Adult,PleurX catheter kit,,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,Prime Vendor: Yes; ECAT: Yes (unverified compiled claims),,{}
PRD-E2A3EFD37E,MFR-E3F284CAE2,BD,,,PleurX Pleural Catheter Starter Kit,50-7700,,,,,Pleural procedures,,Candidate,,,,,,,,,,,,,,,,,"Includes four 1,000 mL bottles",,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,,,{}
PRD-4423366610,MFR-E3F284CAE2,BD,,,PleurX Procedure Pack,50-7290A,,,,,Pleural procedures,,Candidate,,,,,,,,,,,,,,,,,Procedure pack,,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,,,{}
PRD-B9381E6DD2,MFR-E3F284CAE2,BD,,,Safe-T-Centesis Pigtail Drainage Kit,PIG1260K,,,,,Pleural procedures,,Candidate,,,,,,,,,,,,,,,,,"6 Fr, 18G",,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,,,{}
PRD-D77666DBD4,MFR-E3F284CAE2,BD,,,Safe-T-Centesis Pigtail Drainage Kit,PIG1280K,,,,,Pleural procedures,,Candidate,,,,,,,,,,,,,,,,,"8 Fr, 16G",,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,,,{}
PRD-9371C2567D,MFR-E3F284CAE2,BD,,,Safe-T-Centesis PLUS Tray,PIG1260TSP,,,,,Pleural procedures,,Candidate,,,,,,,,,,,,,,,,,6 Fr PLUS tray,,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,,,{}
PRD-C2C49B88CC,MFR-E3F284CAE2,BD,,,Safe-T-Centesis PLUS Tray,PIG1280TSP,,,,,Pleural procedures,Thoracentesis Catheter,Candidate,,,,,,,,,,,,,,,,Adult,8 Fr PLUS tray,,Candidate - user seed; primary source required,Hidden until verified,SRC007,pleural seed,,Prime Vendor: Yes; ECAT: Yes (unverified compiled claims),,{}
PRD-31DA7C7FF7,MFR-E3F284CAE2,BD,,,Safe‑T‑Centesis Catheter Tray – 6 Fr,PIG1260T,,,,,Pleural procedures,Thoracentesis Catheter,Candidate,,,,,,,,,,,,,,,,Both,"Blunt obturator, self‑sealing",,Candidate - user seed; primary source required,Hidden until verified,SRC008,CSV row 25,,Prime Vendor: Yes; ECAT: Yes (unverified compiled claims),,{}
PRD-EB513BCB63,MFR-42F5245630,Boston Scientific,,Acquire Pulmonary,Acquire Pulmonary EBUS Fine Needle Biopsy Device,M00552350,,,,08714729986225,Sampling,EBUS FNB needle,Disposable,Single-use,Sterile,,,,,,,,,22G,,2.0,,Each,,Olympus-scope-compatible pulmonary EBUS FNB device.,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 4,2022,,,"{""sheath_od_mm"":1.4}"
PRD-D826F63F9A,MFR-42F5245630,Boston Scientific,,Acquire Pulmonary,Acquire Pulmonary EBUS Fine Needle Biopsy Device,M00552351,,,,08714729986232,Sampling,EBUS FNB needle,Disposable,Single-use,Sterile,,,,,,,,,22G,,2.0,,Box 5,,Olympus-scope-compatible pulmonary EBUS FNB device.,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 4,2022,,,"{""sheath_od_mm"":1.4}"
PRD-DF1D438D54,MFR-42F5245630,Boston Scientific,,Acquire Pulmonary,Acquire Pulmonary EBUS Fine Needle Biopsy Device,M00552400,,,,08714729986249,Sampling,EBUS FNB needle,Disposable,Single-use,Sterile,,,,,,,,,25G,,2.0,,Each,,Olympus-scope-compatible pulmonary EBUS FNB device.,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 4,2022,,,"{""sheath_od_mm"":1.4}"
PRD-E6ED309802,MFR-42F5245630,Boston Scientific,,Acquire Pulmonary,Acquire Pulmonary EBUS Fine Needle Biopsy Device,M00552401,,,,08714729986256,Sampling,EBUS FNB needle,Disposable,Single-use,Sterile,,,,,,,,,25G,,2.0,,Box 5,,Olympus-scope-compatible pulmonary EBUS FNB device.,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 4,2022,,,"{""sheath_od_mm"":1.4}"
PRD-35EC8EE328,MFR-42F5245630,Boston Scientific,,Alliance II,Alliance II Inflation Handle,M00550620,,,,08714729283881,Airway dilation,Inflation device,Reusable equipment,Reusable,,,,,,,,,,,,,,Each,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,{}
