product_id,manufacturer,product_name,canonical_catalog_number,classification,reason_codes,candidate_count,candidate_primary_di,candidate_catalog_number,candidate_company_name,candidate_model_number,commercial_distribution_status,public_version_date,backlog_comparison,decision
PRD-00FC2A29AC,Novatech,DUMON TD Silicone Airway Stent,03531S,review_required,matches_existing_backlog_suggestion_only|model_only_match,1,14063108100266,,NOVATECH,03531S,In Commercial Distribution,2024-11-22,agrees_with_existing_backlog,pending_review
PRD-02BE5F7D32,Merit Medical,MAXXwire Guide Wire,80129-404,review_required,model_or_configuration_conflict,1,10884450458072,80129-404/A,"Merit Medical Systems, Inc.",10884450458072,In Commercial Distribution,2024-12-23,adds_missing_candidate,pending_review
PRD-0410844D48,Cook Medical,Fuhrman Pleural/Pneumopericardial Drainage Set and Tray,G55713,review_required,matches_existing_backlog_suggestion_only|model_only_match,1,00827002557130,C-PPD-500-WCE-IMH,COOK INCORPORATED,G55713,In Commercial Distribution,2020-10-12,agrees_with_existing_backlog,pending_review
PRD-05780FEDD7,Boston Scientific,Ultraflex Partially Covered Tracheobronchial Stent System,M00576560,review_required,exact_existing_di_match|high_confidence_invariant_catalog_mismatch|high_confidence_invariant_failed|high_confidence_invariant_non_unique_eligible_candidate,1,08714729842361,,BOSTON SCIENTIFIC CORPORATION,M00576560,In Commercial Distribution,2021-02-19,agrees_with_existing_backlog,pending_review
PRD-09AB6CA202,Auris Health (Johnson & Johnson),"Monarch Platform, Bronchoscopy 4.1",MON-000008,review_required,exact_existing_di_match|high_confidence_invariant_catalog_mismatch|high_confidence_invariant_failed|high_confidence_invariant_non_unique_eligible_candidate,2,10810068810988,,"Auris Health, Inc.",MON-000008,In Commercial Distribution,2026-03-19,not_previously_evaluated,pending_review
PRD-1517AA42DA,Teleflex,Arrow-Clarke Thoracentesis Kit,AK-01000-J,review_required,matches_existing_backlog_suggestion_only|model_or_configuration_conflict|multiple_candidate_records,6,20801902097969,AK-01000-J,TELEFLEX INCORPORATED,IPN032616,In Commercial Distribution,2023-07-07,agrees_with_existing_backlog,pending_review
PRD-1708F37D2C,ERBE,"APCapplicator, Rigid, 100 mm, Spatula Electrode",20132-252,review_required,distribution_status_conflicts_with_backlog|existing_backlog_di_conflict|multiple_candidate_records,2,04050147018150,20132-252,Erbe Elektromedizin GmbH,20132-252,Not in Commercial Distribution,2025-05-07,conflicts_with_existing_di,pending_review
PRD-189E7EF27A,Boston Scientific,CRE Single-Use Pulmonary Balloon Dilatation Catheter,M00550350,review_required,exact_existing_di_match|high_confidence_invariant_catalog_mismatch|high_confidence_invariant_failed|high_confidence_invariant_non_unique_eligible_candidate,1,08714729456230,,BOSTON SCIENTIFIC CORPORATION,M00550350,In Commercial Distribution,2018-03-29,agrees_with_existing_backlog,pending_review
PRD-19AC7F0794,Cook Medical,EchoTip Endobronchial HD Ultrasound Needle,G53408,review_required,matches_existing_backlog_suggestion_only|model_only_match,1,00827002534087,ECHO-HD-22-EBUS-P,COOK IRELAND LTD,G53408,In Commercial Distribution,2025-12-05,agrees_with_existing_backlog,pending_review
PRD-1BCD8D38BC,Olympus,ViziShot 2 EBUS-TBNA Needle,NA-U401SX-4022-A,review_required,model_or_configuration_conflict|product_family_fallback_only,1,00821925043060,,"Gyrus ACMI, LLC",NA-U403SX-4019,In Commercial Distribution,2025-06-13,adds_missing_candidate,pending_review
PRD-2302DA77DA,Boston Scientific,Expect Pulmonary EBUS-TBNA Needle,M00558220,review_required,exact_existing_di_match|high_confidence_invariant_catalog_mismatch|high_confidence_invariant_failed|high_confidence_invariant_non_unique_eligible_candidate,1,08714729861409,,BOSTON SCIENTIFIC CORPORATION,M00558220,In Commercial Distribution,2019-07-12,agrees_with_existing_backlog,pending_review
PRD-2B8AACAB67,Olympus,EVIS EUS Endoscopic Ultrasound Center EU-ME3,EU-ME3,review_required,model_or_configuration_conflict,1,04953170431760,N6022040,OLYMPUS MEDICAL SYSTEMS CORP.,OLYMPUS EU-ME3,In Commercial Distribution,2025-04-11,adds_missing_candidate,pending_review
PRD-5543746F59,Olympus,Olympus OER-Pro Automated Endoscope Reprocessor,OER-Pro,review_required,matches_existing_backlog_suggestion_only|model_only_match,1,04953170258589,,OLYMPUS MEDICAL SYSTEMS CORP.,OER-Pro,Not in Commercial Distribution,2025-11-24,agrees_with_existing_backlog,pending_review
PRD-5F801B5A8E,Boston Scientific,Amplatz Super Stiff Guidewire,M00550090,review_required,exact_existing_di_match|high_confidence_invariant_catalog_mismatch|high_confidence_invariant_failed|high_confidence_invariant_non_unique_eligible_candidate,1,08714729301929,,BOSTON SCIENTIFIC CORPORATION,M00550090,In Commercial Distribution,2024-12-23,agrees_with_existing_backlog,pending_review
PRD-6D9A7A7E79,Olympus,ViziShot 2 EBUS-TBNA Needle,NA-U401SX-4025N,review_required,matches_existing_backlog_suggestion_only|model_only_match|multiple_candidate_records,2,04953170402005,,OLYMPUS MEDICAL SYSTEMS CORP.,NA-U401SX-4025N,In Commercial Distribution,2024-04-22,agrees_with_existing_backlog,pending_review
PRD-94C61697D9,Atrium Medical (Getinge),Atrium Oasis Dry Suction Water Seal Chest Drain,3600-100,review_required,exact_existing_di_match|high_confidence_invariant_catalog_mismatch|high_confidence_invariant_failed|high_confidence_invariant_non_unique_eligible_candidate,1,00650862110012,,Atrium Medical Corporation,3600-100,In Commercial Distribution,2026-02-12,not_previously_evaluated,pending_review
PRD-9BB524F077,Scivita Medical Technology,Scivita Full HD Visualization Endoscopic Image Processor HDVS-S300D,HDVS-S300D,review_required,exact_existing_di_match|high_confidence_invariant_catalog_mismatch|high_confidence_invariant_failed|high_confidence_invariant_non_unique_eligible_candidate,1,06971381252422,,"Scivita Medical Technology Co., Ltd.",HDVS-S300D,In Commercial Distribution,2025-06-26,agrees_with_existing_backlog,pending_review
