product_id,manufacturer,product_name,catalog_number,research_state,confidence,identity_match_method,manual_review_status,adjudication,inspection_note,challenge_tags,exact_identity_reviewed,exact_identity_correct,udi_distribution_assessment,exact_udi_configuration_count,manufacturer_search_completed,manufacturer_finding,manufacturer_source_found,live_status_conflict,has_any_conflict_flag,active_conflict_flags,conflict_challenge_live_detected,stale_conflict_challenge_rechecked,query_error,invariant_failures,schema_errors,false_positive,false_negative,canonical_change_applied
PRD-00C13A59AA,Richard Wolf,TEXAS Tracheoscope Tube ID 17.1 mm,82520.1441,identity_unresolved,low,exact_manufacturer_catalog_number,manually_inspected,invariant_or_schema_error,"TEXAS Tracheoscope Tube ID 17.1 mm: identity=exact_manufacturer_catalog_number; UDI=all_exact_configurations_ended (1 exact configurations: 0 active, 1 ended, 0 unknown; latest end 2020-03-02); manufacturer=current_non_us (search completed); active conflict flags=identity|model|distribution; invariant failures=current_non_us_manufacturer_applicability_unresolved|distribution_conflict_present|identity_conflict_present|model_conflict_present; classification=identity_unresolved.",discontinued_candidate|exact_di_candidate|exact_manufacturer_catalog_candidate|premarket_exempt_candidate|reviewed_manufacturer_alias,true,true,all_exact_configurations_ended,1,true,current_non_us,true,false,true,identity|model|distribution,false,false,false,current_non_us_manufacturer_applicability_unresolved|distribution_conflict_present|identity_conflict_present|model_conflict_present,,false,false,false
PRD-019030A1C7,Karl Storz,Aspirator for Collecting Secretions with Cut-Off Hole,10432N,insufficient_evidence,low,none,manually_inspected,supported_as_classified,"Aspirator for Collecting Secretions with Cut-Off Hole: identity=none; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=no_result (search completed); active conflict flags=none; classification=insufficient_evidence.",adjacent_sku_trap|device_intelligence_exemplar|legacy_product|no_udi_candidate|premarket_exempt_candidate|reviewed_manufacturer_alias,false,,no_exact_result,0,true,no_result,false,false,false,,false,false,false,,,false,false,false
PRD-0410844D48,Cook Medical,Fuhrman Pleural/Pneumopericardial Drainage Set and Tray,G55713,identity_unresolved,low,family_or_name_only,manually_inspected,supported_as_classified,"Fuhrman Pleural/Pneumopericardial Drainage Set and Tray: identity=family_or_name_only; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=family_only_current (search completed); active conflict flags=identity|manufacturer; classification=identity_unresolved.",adjacent_sku_trap|broad_line_manufacturer|device_intelligence_exemplar|disposable_device|exact_di_candidate|no_udi_candidate,false,,no_exact_result,0,true,family_only_current,true,false,true,identity|manufacturer,false,false,false,,,false,false,false
PRD-070884900C,Cook Medical,Multipurpose Plastic Tubing Adapter,G05302,identity_unresolved,low,family_or_name_only,manually_inspected,supported_as_classified,"Multipurpose Plastic Tubing Adapter: identity=family_or_name_only; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=family_only_current (search completed); active conflict flags=identity|manufacturer; classification=identity_unresolved.",adjacent_sku_trap|broad_line_manufacturer|device_intelligence_exemplar|disposable_device|exact_di_candidate|no_udi_candidate|premarket_exempt_candidate,false,,no_exact_result,0,true,family_only_current,true,false,true,identity|manufacturer,false,false,false,,,false,false,false
PRD-075C3EC5EE,FUJIFILM SonoSite,SonoSite L13-6 Transducer,L13-6,insufficient_evidence,low,none,manually_inspected,supported_as_classified,"SonoSite L13-6 Transducer: identity=none; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=not_searched (not searched); active conflict flags=none; classification=insufficient_evidence.",adjacent_sku_trap|device_intelligence_exemplar|no_udi_candidate|premarket_exempt_candidate,false,,no_exact_result,0,false,not_searched,false,false,false,,false,false,false,,,false,false,false
PRD-0A2ABE77F9,Karl Storz,Aspirator for Collecting Secretions without Cut-Off Hole,10432T,insufficient_evidence,low,none,manually_inspected,supported_as_classified,"Aspirator for Collecting Secretions without Cut-Off Hole: identity=none; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=no_result (search completed); active conflict flags=none; classification=insufficient_evidence.",adjacent_sku_trap|device_intelligence_exemplar|legacy_product|no_udi_candidate|premarket_exempt_candidate|reviewed_manufacturer_alias,false,,no_exact_result,0,true,no_result,false,false,false,,false,false,false,,,false,false,false
PRD-0D6E4DB711,Olympus,ViziShot 2 FLEX EBUS FNA/FNB Needle,NA-U403SX-4019,identity_unresolved,low,family_or_name_only,manually_inspected,supported_as_classified,"ViziShot 2 FLEX EBUS FNA/FNB Needle: identity=family_or_name_only; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=not_searched (not searched); active conflict flags=identity|manufacturer; classification=identity_unresolved.",broad_line_manufacturer|candidate_or_unknown_verification_grade|device_intelligence_exemplar|disposable_device|exact_di_candidate|no_udi_candidate|reviewed_manufacturer_alias,false,,no_exact_result,0,false,not_searched,false,false,true,identity|manufacturer,false,false,false,,,false,false,false
PRD-129E6C270A,Karl Storz,"Single-Use Plastic Collection Device, Pack of 100",10432ED,insufficient_evidence,low,none,manually_inspected,supported_as_classified,"Single-Use Plastic Collection Device, Pack of 100: identity=none; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=no_result (search completed); active conflict flags=none; classification=insufficient_evidence.",device_intelligence_exemplar|legacy_product|no_udi_candidate|premarket_exempt_candidate|reviewed_manufacturer_alias,false,,no_exact_result,0,true,no_result,false,false,false,,false,false,false,,,false,false,false
PRD-16096E045B,Verathon,BFlex 2 Slim 3.8 Single-Use Bronchoscope,BFlex 2 Slim 3.8,identity_unresolved,low,family_or_name_only,manually_inspected,supported_as_classified,"BFlex 2 Slim 3.8 Single-Use Bronchoscope: identity=family_or_name_only; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=family_only_current (search completed); active conflict flags=none; classification=identity_unresolved.",disposable_device|exact_di_candidate|no_udi_candidate,false,,no_exact_result,0,true,family_only_current,true,false,false,,false,false,false,,,false,false,false
PRD-1708F37D2C,ERBE,"APCapplicator, Rigid, 100 mm, Spatula Electrode",20132-252,current_status_conflicted,moderate,exact_manufacturer_catalog_number,manually_inspected,supported_as_classified,"APCapplicator, Rigid, 100 mm, Spatula Electrode: identity=exact_manufacturer_catalog_number; UDI=conflicting_exact_configuration_statuses (4 exact configurations: 2 active, 2 ended, 0 unknown; latest end 2025-05-06); manufacturer=not_searched (not searched); active conflict flags=package_configuration|distribution; classification=current_status_conflicted.",conflicting_distribution_states|disposable_device|exact_di_candidate|exact_manufacturer_catalog_candidate|multiple_package_configurations|reviewed_manufacturer_alias,true,true,conflicting_exact_configuration_statuses,4,false,not_searched,false,true,true,package_configuration|distribution,true,false,false,,,false,false,false
PRD-18D62EB4E8,Richard Wolf,"Fiber Light Cable Bundle, 2.5 mm x 2.3 m",806625231,insufficient_evidence,low,none,manually_inspected,supported_as_classified,"Fiber Light Cable Bundle, 2.5 mm x 2.3 m: identity=none; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=current_non_us (search completed); active conflict flags=none; classification=insufficient_evidence.",no_udi_candidate|premarket_exempt_candidate|reviewed_manufacturer_alias,false,,no_exact_result,0,true,current_non_us,true,false,false,,false,false,false,,,false,false,false
PRD-19DEF7AEC5,FUJIFILM SonoSite,SonoSite L15-4 Transducer,L15-4,identity_unresolved,low,family_or_name_only,manually_inspected,supported_as_classified,"SonoSite L15-4 Transducer: identity=family_or_name_only; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=not_searched (not searched); active conflict flags=identity|manufacturer; classification=identity_unresolved.",adjacent_sku_trap|device_intelligence_exemplar|no_udi_candidate|premarket_exempt_candidate,false,,no_exact_result,0,false,not_searched,false,false,true,identity|manufacturer,false,false,false,,,false,false,false
PRD-1A152615A0,VisionAir Solutions,Patient-Specific Airway Stent Design and Manufacturing Service,CUSTOM-SERVICE,not_applicable_noncommercial_or_local,high,none,manually_inspected,supported_as_classified,"Patient-Specific Airway Stent Design and Manufacturing Service: identity=none; UDI=no_exact_result (0 exact configurations: 0 active, 0 ended, 0 unknown); manufacturer=not_searched (not searched); active conflict flags=none; classification=not_applicable_noncommercial_or_local.",candidate_or_unknown_verification_grade|no_udi_candidate|noncommercial_or_local_candidate,false,,no_exact_result,0,false,not_searched,false,false,false,,false,false,false,,,false,false,false
