product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,udi_assessment,listing_assessment,authorization_finding,manufacturer_finding,conflict_flags,rationale,unresolved_questions,proposed_human_review_disposition,source_urls,canonical_change_applied
PRD-027269F110,Richard Wolf,TipControl Articulated Scissors,823400003,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,current_non_us,distribution,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. An exact current non-U.S. manufacturer source has unresolved U.S. applicability against the ended exact UDI evidence, so a high-confidence negative is not supported.",Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?|Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207056431%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22823400003%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22823400003%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22LRC%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22LRC%22&limit=100,false
PRD-107849AF0E,Olympus,OER-Pro Water Filter,MAJ-824,,current_status_conflicted,moderate,exact_manufacturer_model_number,all_exact_configurations_ended,exact_current_listing,exact_510k_clearance,family_only_current,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: family_only_current. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://medical.olympusamerica.com/customer-resources/cleaning-disinfection-sterilization/reprocessing-products|https://medical.olympusamerica.com/sites/default/files/us/files/pdf/OER-Pro-Brochure.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-824%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170438295%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-824%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K201920%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22FEB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K201920%22&limit=100,false
PRD-1708F37D2C,ERBE,"APCapplicator, Rigid, 100 mm, Spatula Electrode",20132-252,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,conflicting_exact_configuration_statuses,exact_current_listing,exact_510k_clearance,not_searched,package_configuration|distribution,"Identity method: exact_manufacturer_catalog_number. UDI assessment: conflicting_exact_configuration_statuses. Manufacturer finding: not_searched. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147024458%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K183445%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K183445%22&limit=100,false
PRD-2218769436,ERBE,"APCapplicator, Rigid, 350 mm, Spatula Electrode",20132-254,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,conflicting_exact_configuration_statuses,exact_current_listing,exact_510k_clearance,not_searched,package_configuration|distribution,"Identity method: exact_manufacturer_catalog_number. UDI assessment: conflicting_exact_configuration_statuses. Manufacturer finding: not_searched. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-254%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147024496%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-254%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-254%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-254%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K183445%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K183445%22&limit=100,false
PRD-2C4537F4D4,Olympus,Peripheral Biopsy Forceps,FB-433D,,current_status_conflicted,moderate,exact_manufacturer_model_number,conflicting_exact_configuration_statuses,search_incomplete,not_found,family_only_current,package_configuration|distribution,"Identity method: exact_manufacturer_model_number. UDI assessment: conflicting_exact_configuration_statuses. Manufacturer finding: family_only_current. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170401954%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOQ%22&limit=100,false
PRD-2EB7F5EEC1,Richard Wolf,TEXAS Tracheoscope Tube ID 17 mm,825211430,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,all_exact_configurations_ended,family_current_listing,premarket_exempt,current_non_us,distribution,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. An exact current non-U.S. manufacturer source has unresolved U.S. applicability against the ended exact UDI evidence, so a high-confidence negative is not supported.",Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?|Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22825211430%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22825211430%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207056776%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22KTI%22&limit=100,false
PRD-3C756110F0,Richard Wolf,TEXAS Tracheoscope Tube ID 15 mm,825211230,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,all_exact_configurations_ended,family_current_listing,premarket_exempt,current_non_us,distribution,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. An exact current non-U.S. manufacturer source has unresolved U.S. applicability against the ended exact UDI evidence, so a high-confidence negative is not supported.",Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?|Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207056769%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22825211230%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22825211230%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22KTI%22&limit=100,false
PRD-5165F27B5F,Olympus,OER-Pro Charcoal Air Filter,MAJ-822,,current_status_conflicted,moderate,exact_manufacturer_model_number,all_exact_configurations_ended,exact_current_listing,exact_510k_clearance,family_only_current,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: family_only_current. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://medical.olympusamerica.com/customer-resources/cleaning-disinfection-sterilization/reprocessing-products|https://medical.olympusamerica.com/sites/default/files/us/files/pdf/OER-Pro-Brochure.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-822%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170438271%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-822%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K201920%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22FEB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K201920%22&limit=100,false
PRD-523148A737,Richard Wolf,TEXAS Tracheoscope Tube ID 11 mm,825210830,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,all_exact_configurations_ended,family_current_listing,premarket_exempt,current_non_us,distribution,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. An exact current non-U.S. manufacturer source has unresolved U.S. applicability against the ended exact UDI evidence, so a high-confidence negative is not supported.",Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?|Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22825210830%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207056745%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22825210830%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22KTI%22&limit=100,false
PRD-5543746F59,Olympus,Olympus OER-Pro Automated Endoscope Reprocessor,OER-Pro,,current_status_conflicted,moderate,exact_manufacturer_model_number,all_exact_configurations_ended,family_current_listing,not_found,current_exact_official_us_product,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_exact_official_us_product. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://medical.olympusamerica.com/customer-resources/cleaning-disinfection-sterilization/reprocessing-products|https://medical.olympusamerica.com/sites/default/files/us/files/pdf/OER-Pro-Brochure.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22OER-Pro%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170258589%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22FEB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22FEB%22&limit=100,false
