product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,udi_assessment,listing_assessment,authorization_finding,manufacturer_finding,conflict_flags,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,rationale,unresolved_questions,proposed_human_review_disposition,source_urls,canonical_change_applied
PRD-05670F1B5F,ERBE,Flexible Cryoprobe 2.4 mm,20402-411,,current_us_distribution_supported,high,exact_manufacturer_catalog_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,exact_identity_only_not_current,,searched,active_exact_product_action,lot_specific,Z-1568-2026,hold_active_safety_action,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: exact_identity_only_not_current. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. A second exact current source (an exact current FDA listing or an exact current official manufacturer U.S. source) corroborates it. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. An active exact FDA safety action (Z-1568-2026; scope lot_specific) applies to this exact product, so ordinary prototype-visibility review is held pending physician/governance safety review. The safety action does not establish that the product is discontinued or no longer distributed.","Has a physician/governance safety review cleared the active exact FDA safety action, including which lots are affected and whether any unaffected configuration remains appropriate to model?|Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",keep_hidden_pending_active_safety_action_review,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/USA/MKT-5074_ERBECRYO-2_2023-06.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147021839%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220402-411%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220402-411%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K190651%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEH%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K190651%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2220402-411%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147021846%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147021839%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147021846%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2220402-411%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147021839%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22K190651%22&limit=100,false
PRD-0FECB0AD06,Karl Storz,Suction Tube with Cut-Off Hole,10383B,,current_us_distribution_supported,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,family_current_listing,not_found,no_result,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. No second exact current source corroborates it, so confidence is capped at moderate. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551048009%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210383B%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210383B%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551048009%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210383+B%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210383+B%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551048009%22&limit=100,false
PRD-1411E60176,Karl Storz,Suction Tube,10380B,,current_us_distribution_supported,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,family_current_listing,not_found,no_result,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. No second exact current source corroborates it, so confidence is capped at moderate. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210380B%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551047774%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210380B%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551047774%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210380+B%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551047774%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210380+B%22&limit=100,false
PRD-163DFA98ED,Olympus,OER-Pro ID Chip,MAJ-1546,,current_us_distribution_supported,moderate,exact_manufacturer_model_number,all_exact_configurations_active,family_current_listing,not_found,family_only_current,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: family_only_current. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. No second exact current source corroborates it, so confidence is capped at moderate. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://medical.olympusamerica.com/customer-resources/cleaning-disinfection-sterilization/reprocessing-products|https://medical.olympusamerica.com/sites/default/files/us/files/pdf/OER-Pro-Brochure.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170234101%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-1546%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22FEB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22FEB%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170234101%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22MAJ-1546%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22MAJ-1546%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170234101%22&limit=100,false
PRD-23EF6EF461,Olympus,OER-Pro Connector Hanger,MAJ-865,,current_us_distribution_supported,high,exact_manufacturer_model_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,family_only_current,,searched,family_or_ambiguous_action,family_level,,hold_safety_identity_ambiguous,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: family_only_current. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. A second exact current source (an exact current FDA listing or an exact current official manufacturer U.S. source) corroborates it. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. Only family-level or unresolved FDA safety evidence was found, so an exact safety determination is not available and ordinary visibility review is held.","Does the family-level or unresolved FDA safety action apply to this exact catalog product?|Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",keep_hidden_pending_safety_review,https://medical.olympusamerica.com/customer-resources/cleaning-disinfection-sterilization/reprocessing-products|https://medical.olympusamerica.com/sites/default/files/us/files/pdf/OER-Pro-Brochure.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170438325%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-865%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-865%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K201920%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22FEB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K201920%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22MAJ-865%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170438325%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170069628%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22MAJ-865%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170069628%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22K201920%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170438325%22&limit=100,false
PRD-2522C4A9A6,Karl Storz,Suction Tube with Cut-Off Hole,10383A,,current_us_distribution_supported,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,family_current_listing,not_found,no_result,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. No second exact current source corroborates it, so confidence is capped at moderate. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210383A%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551047958%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210383A%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210383+A%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551047958%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551047958%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210383+A%22&limit=100,false
PRD-2644647C19,Karl Storz,"Suction Tube with Rubber Tip, Straight",10381A,,current_us_distribution_supported,moderate,exact_manufacturer_model_number,all_exact_configurations_active,family_current_listing,not_found,no_result,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. No second exact current source corroborates it, so confidence is capped at moderate. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210381A%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551047828%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551047828%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210381+A%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210381+A%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551047828%22&limit=100,false
PRD-277D52B6BC,Karl Storz,Suction Tube,10380A,,current_us_distribution_supported,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,family_current_listing,not_found,no_result,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. No second exact current source corroborates it, so confidence is capped at moderate. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551047729%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210380A%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210380A%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551047729%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210380+A%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551047729%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210380+A%22&limit=100,false
PRD-2E043ED827,Olympus,Radial Ultrasound Miniature Probe,UM-S20-20R,,current_us_distribution_supported,high,exact_manufacturer_model_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,family_only_current,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: family_only_current. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. A second exact current source (an exact current FDA listing or an exact current official manufacturer U.S. source) corroborates it. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170078705%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K250762%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22ITX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K250762%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170078705%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170467295%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170368592%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170368592%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22K250762%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170467295%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170078705%22&limit=100,false
PRD-33C62E2093,Karl Storz,Suction Tube,10380D,,current_us_distribution_supported,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,family_current_listing,not_found,no_result,,searched,no_exact_action_found,unknown,,eligible_for_owner_review,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. No second exact current source corroborates it, so confidence is capped at moderate. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. A completed FDA safety-action search found no exact current safety action for this identity.","Is this exact product presently orderable in the United States, and from which distributor? Current commercial-distribution evidence does not establish present orderability or stock.",review_for_prototype_visibility,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551047804%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210380D%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210380D%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOX%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210380+D%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551047804%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551047804%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210380+D%22&limit=100,false
