product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,udi_assessment,listing_assessment,authorization_finding,manufacturer_finding,conflict_flags,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,rationale,unresolved_questions,proposed_human_review_disposition,source_urls,canonical_change_applied
PRD-00C13A59AA,Richard Wolf,TEXAS Tracheoscope Tube ID 17.1 mm,82520.1441,,identity_unresolved,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,family_current_listing,premarket_exempt,current_non_us,identity|model|distribution,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?|Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?,keep_hidden_identity_unresolved,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207033791%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207033791%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207033791%22&limit=100,false
PRD-023092D446,Richard Wolf,"Parenchyma Forceps 50 mm, Curved Right",8242.604,,identity_unresolved,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,current_non_us,identity|model|distribution,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?|Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?,keep_hidden_identity_unresolved,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207014653%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228242.604%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEN%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207014653%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228242.604%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228242.604%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207014653%22&limit=100,false
PRD-02DC164D77,Medtronic,Shiley Flexible Evac Tracheostomy Tube,9CN90ED,,identity_unresolved,low,family_or_name_only,no_exact_result,no_result,not_found,not_searched,identity|manufacturer,searched,no_exact_action_found,unknown,,not_applicable,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%229CN90ED%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210884521726246%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521726246%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%229CN90ED%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521726246%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%229CN90ED%22&limit=100,false
PRD-0410844D48,Cook Medical,Fuhrman Pleural/Pneumopericardial Drainage Set and Tray,G55713,,identity_unresolved,low,family_or_name_only,no_exact_result,no_result,not_found,family_only_current,identity|manufacturer,searched,no_exact_action_found,unknown,,not_applicable,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://www.cookmedical.com/products/cc_utpt_webds/|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22G55713%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22G55713%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22G55713%22&limit=100,false
PRD-04E1CAF545,Medtronic,Shiley Flexible Adult Cuffless Tracheostomy Tube,10UN10H,,identity_unresolved,low,family_or_name_only,no_exact_result,no_result,not_found,not_searched,identity|manufacturer,searched,active_exact_product_action,lot_specific,Z-1357-2023,not_applicable,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210UN10H%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2220884521176291%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210UN10H%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521176291%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210UN10H%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521176291%22&limit=100,false
PRD-050EDDE140,Karl Storz,Laryngeal Atomizer,10454,,identity_unresolved,low,family_or_name_only,no_exact_result,no_result,not_found,no_result,identity|manufacturer,searched,no_exact_action_found,unknown,,not_applicable,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: no_result. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210454%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210454%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210454%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210454%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210454%22&limit=100,false
PRD-070884900C,Cook Medical,Multipurpose Plastic Tubing Adapter,G05302,,identity_unresolved,low,family_or_name_only,no_exact_result,no_result,not_found,family_only_current,identity|manufacturer,searched,no_exact_action_found,unknown,,not_applicable,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://www.cookmedical.com/products/cc_utpt_webds/|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22G05302%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200827002053021%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22G05302%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200827002053021%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22G05302%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200827002053021%22&limit=100,false
PRD-07CDEDC2AB,Teleflex,Arrow Pneumothorax Water-Seal Set,ASK-01500,,identity_unresolved,low,exact_manufacturer_catalog_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,no_result,identity|model,searched,active_exact_product_action,lot_specific,Z-2382-2026,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://teleflex.com/usa/en/product-areas/interventional/drainage/arrow-diagnostic-drainage-products/MC-006078_Interventional_DND_Product_Line_Brochure_Final.pdf|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22ASK-01500%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210801902156232%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K904021%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JDC%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K904021%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22ASK-01500%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210801902156232%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220801902156239%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210801902156232%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22K904021%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22ASK-01500%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220801902156239%22&limit=100,false
PRD-095515E20C,Richard Wolf,TEXAS Bronchoscope Tube ID 13 mm,82520.1041,,identity_unresolved,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,family_current_listing,premarket_exempt,current_non_us,identity|model|distribution,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?|Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?,keep_hidden_identity_unresolved,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207033777%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2282520.1041%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207033777%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2282520.1041%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2282520.1041%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207033777%22&limit=100,false
PRD-0BAE92E0E1,Cardinal Health,"Sterile Mucus/Specimen Trap, 40 cc",C30200A,,identity_unresolved,low,family_or_name_only,no_exact_result,no_result,not_found,not_searched,identity|manufacturer,searched,no_exact_action_found,unknown,,not_applicable,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://api.fda.gov/device/udi.json?search=catalog_number%3A%22C30200A%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210885380119798%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22C30200A%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210885380119798%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22C30200A%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22C30200A%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210885380119798%22&limit=100,false
