product_id,manufacturer,product_name,catalog_number,prior_visibility_state,verification_grade,market_status,market_confidence,safety_display,safety_action_scope,safety_reference_codes,status_recommendation_gate,role_count,authored_option_count
"PRD-00C13A59AA","Richard Wolf","TEXAS Tracheoscope Tube ID 17.1 mm","82520.1441","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-011BE58B2D","Karl Storz","Universal Forceps","10366U","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-019030A1C7","Karl Storz","Aspirator for Collecting Secretions with Cut-Off Hole","10432N","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","4"
"PRD-01F519887A","Richard Wolf","PANOVIEW ULTRA Telescope","89354426","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0221D4FEAA","Richard Wolf","PANOVIEW ULTRA Telescope","8935461","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-023092D446","Richard Wolf","Parenchyma Forceps 50 mm, Curved Right","8242.604","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-02641F9166","Karl Storz","Round Spoon Biopsy Forceps","10371L","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-027269F110","Richard Wolf","TipControl Articulated Scissors","823400003","hidden","verified_source","current_status_conflicted","moderate","no_exact_action_found_as_of_snapshot","","","review_required","1","1"
"PRD-0410844D48","Cook Medical","Fuhrman Pleural/Pneumopericardial Drainage Set and Tray","G55713","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","4"
"PRD-042A57F191","Karl Storz","Coagulation Suction Tube","10390AN","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
