product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-00C13A59AA,Richard Wolf,TEXAS Tracheoscope Tube ID 17.1 mm,82520.1441,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_tracheoscope,Rigid tracheoscope,high,false,name_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-019030A1C7,Karl Storz,Aspirator for Collecting Secretions with Cut-Off Hole,10432N,Rigid bronchoscopy,Bronchoscopy aspiration/irrigation accessory,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,pair_rule,SPECIMEN_TRAP,EBUS_TBNA|FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT
PRD-01F519887A,Richard Wolf,PANOVIEW ULTRA Telescope,89354426,Medical thoracoscopy,Thoracoscopy telescope,endoscopic_telescope,Endoscopic telescope,thoracoscopy_telescope,Thoracoscopy telescope,high,false,pair_rule,THORACOSCOPE_RIGID,MED_THORACOSCOPY
PRD-0221D4FEAA,Richard Wolf,PANOVIEW ULTRA Telescope,8935461,Medical thoracoscopy,Thoracoscopy telescope,endoscopic_telescope,Endoscopic telescope,thoracoscopy_telescope,Thoracoscopy telescope,high,false,pair_rule,THORACOSCOPE_RIGID,MED_THORACOSCOPY
PRD-023092D446,Richard Wolf,"Parenchyma Forceps 50 mm, Curved Right",8242.604,Medical thoracoscopy,Thoracoscopy instrument,forceps_instrument,Forceps and hand instruments,thoracoscopy_hand_instrument,Thoracoscopy hand instrument,high,false,pair_rule,THORACOSCOPY_BIOPSY_FORCEPS,MED_THORACOSCOPY
PRD-039120780F,Olympus,Balloon Catheter 11 mm,B5-2C,Endobronchial valve,Sizing / occlusion balloon catheter,sizing_measuring,Sizing or measuring device,sizing_occlusion_balloon,Sizing / occlusion balloon catheter,moderate,false,pair_rule,EBV_SIZING_BALLOON,EBV
PRD-042B406005,Novatech,DUTAU NOVATECH Injection Cannula,02BRD1110,Rigid bronchoscopy,Rigid bronchoscope system,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-047902FA9C,Olympus,WM-NP3 Series Workstation,WM-NP3,Endoscopy platform,Endoscopy workstation,console_capital,Console or capital equipment,endoscopy_workstation,Endoscopy workstation or cart,high,false,pair_rule,ENDOSCOPY_CART,
PRD-050EDDE140,Karl Storz,Laryngeal Atomizer,10454,Rigid bronchoscopy,Rigid bronchoscopy accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-05670F1B5F,ERBE,Flexible Cryoprobe 2.4 mm,20402-411,Therapeutic bronchoscopy,Flexible cryoprobe,cryotherapy,Cryotherapy device,flexible_cryoprobe,Flexible cryoprobe,high,false,pair_rule,CRYOPROBE_FLEX,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-06811F5515,Karl Storz,HUZLY Suction Tube 3 mm x 35 cm,10434B,Rigid bronchoscopy,Bronchoscopy aspiration/irrigation accessory,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,pair_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-06D2F10782,Karl Storz,Positive-Pressure Ventilation Injection Cannula,10318K,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-0790420A76,Olympus,GuideSheathKit 2,K-401,Peripheral bronchoscopy,Guide sheath kit,catheter_sheath,Catheter or guide sheath,guide_sheath_kit,Guide sheath kit,high,false,pair_rule,GUIDE_SHEATH_KIT,FLEX_DIAGNOSTIC
PRD-07EA3DD76E,Novatech,SURVAC PTFE Suction Catheter,77622,Rigid bronchoscopy,Suction catheter,suction_irrigation,Suction or irrigation device,flexible_suction_catheter,Flexible suction catheter,high,false,pair_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-07EAE54A89,Olympus,Spiration Deployment Catheter and Loader – HUD,REF-HUS-C26N,Endobronchial valve,Historical HUD deployment catheter,implant_delivery,Implant delivery device,valve_delivery_catheter,Valve delivery catheter,high,false,pair_rule,EBV_DELIVERY_CATHETER,EBV
PRD-087FFD6337,Karl Storz,Rubber Telescope Guide,10315N,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
