product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-003C4641E6,CLR Medical,CLR Irrigator,S012-01-019,Pleural procedures,Pleural irrigation instrument,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,unmatched_fallback,PLEURAL_DRAINAGE_ACCESSORY,
PRD-0B0CC1045A,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals with 7.5 mm Shiley Evac Tube,G57722,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-0FD8BE79BA,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set with 8.5 mm Shiley Evac Tube,G57694,Percutaneous tracheostomy,Percutaneous tracheostomy set,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-131661EB7C,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals with 8.5 mm Shiley Flexible Adult Tube,G57721,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-18D0D3090E,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set with 7.5 mm Shiley Flexible Adult Tube,G57691,Percutaneous tracheostomy,Percutaneous tracheostomy set,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-25412B4F20,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals,G57709,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-318DD7F80F,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray with 8.5 mm Shiley Evac Tube,G57719,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-320FF77256,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray with 7.5 mm Shiley Flexible Adult Tube,G57716,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-39295A9759,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals,G57708,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-449C642234,Karl Storz,"Flexible Button Electrode, 1.7 mm x 80 cm",10770B,Therapeutic bronchoscopy,Flexible electrosurgery electrode,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,,
PRD-5E5E5933A2,Medtronic,GenCut Core Biopsy System,SDCT01,Peripheral bronchoscopy,Navigation-compatible biopsy device,needle,Needle,core_biopsy_device,Core biopsy device,needs_review,true,name_rule,BIOPSY_FORCEPS_FLEX,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH
PRD-61930EA6FF,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals,G57707,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-86B4C57E4C,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set,G57684,Percutaneous tracheostomy,Percutaneous tracheostomy set,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-90327D4D73,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals with 8.5 mm Shiley Evac Tube,G57723,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-9EE9380618,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set with 8.5 mm Shiley Flexible Adult Tube,G57692,Percutaneous tracheostomy,Percutaneous tracheostomy set,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-B027947191,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray with 8.5 mm Shiley Flexible Adult Tube,G57717,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-B76AF3D731,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set,G57682,Percutaneous tracheostomy,Percutaneous tracheostomy set,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-C61336D16B,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray with 7.5 mm Shiley Evac Tube,G57718,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-D0F1748B0D,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set,G57683,Percutaneous tracheostomy,Percutaneous tracheostomy set,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-F2DAE07C64,Karl Storz,"Flexible Unipolar Coagulation Electrode, 1 mm x 110 cm",11161KE,Therapeutic bronchoscopy,Flexible electrosurgery electrode,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,,
PRD-F93B7FF984,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set with 7.5 mm Shiley Evac Tube,G57693,Percutaneous tracheostomy,Percutaneous tracheostomy set,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-FF056E168C,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals with 7.5 mm Shiley Flexible Adult Tube,G57720,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
