product_id,manufacturer,product_name,catalog_number,description_scope_proposal,profile_group_id,source_ids,acquisition_query_ids
PRD-003C4641E6,CLR Medical,CLR Irrigator,S012-01-019,exact_product,,D2D-SRC-089-001|D2D-SRC-103-013|D2D-SRC-104-031|D2D-SRC-FDA-UDI-60FC657A72ED,D2D-Q-CLR-UDI-00860003054901
PRD-05670F1B5F,ERBE,Flexible Cryoprobe 2.4 mm,20402-411,exact_product,,D2D-SRC-018-BASE|D2D-SRC-FDA-UDI-59B18E998C2C,D2D-Q-ERBE-UDI-20402-411
PRD-1ED27ADA45,Praxis Medical LLC,"EndoCore 22G Bevel Tip EBUS Needle, Olympus Configuration",ENDO-BV-22G-Kit-O,exact_product,,D2D-SRC-089-001|D2D-SRC-095-006|D2D-SRC-096-019|D2D-SRC-FDA-UDI-739E3496CD3E,D2D-Q-PRAXIS-UDI-00850081350033
PRD-2632FFBF07,Axess Vision Technology S.A.S.,Broncoflex XFlo 5.6/3.0 Single-Use Bronchoscope,10040001,exact_product,,D2D-SRC-089-001|D2D-SRC-092-004|D2D-SRC-094-015|D2D-SRC-FDA-UDI-C8AD11B2D249,D2D-Q-AXESS-XFLO-UDI-03664977000103
PRD-3E1556EBE5,Medtronic,"Tricut 4.0 mm Angle-Tip Bronchial Blade, 45 cm",1884035HRE,exact_product,,D2D-SRC-091-003|D2D-SRC-FDA-UDI-04C615D462F9,D2D-Q-MEDTRONIC-UDI-1884035HRE
PRD-6F15A8C9B5,Axess Vision Technology S.A.S.,Screeni Video Processor without Accessories,30030001,exact_product,,D2D-SRC-089-001|D2D-SRC-093-005|D2D-SRC-094-017|D2D-SRC-FDA-UDI-18AD1BE46FCA,D2D-Q-SCREENI-UDI-03664977030032
PRD-A0655BF464,Karl Storz,"Optical Forceps, large jaws, blunt",10350F,exact_product,,D2D-SRC-107-BASE|D2D-SRC-FDA-UDI-CDCD8F0A0F43,D2D-Q-STORZ-UDI-10350F
PRD-AED3720BF6,Serpex Medical,Narwhal Cryobiopsy Probe,MCB-1000-4,configuration_variant,,D2D-SRC-089-001|D2D-SRC-097-007|D2D-SRC-FDA-510K-9D8612D0889F|D2D-SRC-FDA-REGISTRATIONLISTING-E6B9A9B73F6A|D2D-SRC-FDA-UDI-4760F1CEE4E5,D2D-Q-SERPEX-510K-K261068|D2D-Q-SERPEX-LISTING-K261068|D2D-Q-SERPEX-UDI-MCB-1000-4
PRD-B76AF3D731,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set,G57682,configuration_variant,DPG-COOK-BLUE-RHINO-G2-MULTI,D2D-SRC-074-BASE|D2D-SRC-FDA-UDI-9C87E69FF6AC,D2D-Q-COOK-UDI-G57682
PRD-F4AE2A74E6,Novatech,GSS TD Tracheal Stent,01TD1120,configuration_variant,DPG-NOVATECH-GSS-TD,D2D-SRC-106-BASE|D2D-SRC-FDA-UDI-8DCCC9F9E79D,D2D-Q-NOVATECH-UDI-01TD1120
