analysis_type,identifier,source_filenames,input_row_numbers,canonical_product_id,canonical_catalog_number,note
repeated_exact_identifier,EB-530US,,778;789;810,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,EB-710US,,790;809,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81670,,2023;2042,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81680,,2024;2043,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81690,,2025;2044,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81700,,2026;2045,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81710,,2027;2046,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81720,,2028;2047,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81730,,2029;2048,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81740,,2030;2049,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81750,,2031;2050,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81760,,2032;2051,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81770,,2033;2052,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81780,,2034;2053,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81790,,2035;2054,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81800,,2036;2055,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81810,,2037;2056,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81820,,2038;2057,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81830,,2039;2058,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81840,,2040;2059,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_exact_identifier,TT81850,,2041;2060,,,Identifier repeats byte-for-byte in the frozen intake.
repeated_normalized_identifier,EB-530US,,778;789;810,,,Identifier repeats in the frozen intake; manufacturer-aware reconciliation remains authoritative.
