input_row_number,extracted_identifier,extracted_product_name,extracted_manufacturer,source_filename,matched_source_page,disposition,canonical_product_id,canonical_catalog_number,match_basis,evidence_strength,reason_code,owner_review_note
1,Not stated in source,Micro-Tech Tracheal Stent System (Y-Shaped),Micro-Tech USA / Micro-Tech Endoscopy,1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,Document p. Not separately numbered / see PDF index (PDF page 1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf:13),existing_family_or_package_variant,,,existing_family_or_package_variant,moderate,existing_family_or_package_variant,IFU family row has no exact order number; current catalog already contains the exact TT81670-TT81850 configurations.
3,8379.462,"Coagulation Electrode, Button, Monopolar, 3.5 mm, WL 310 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-8E3A12AFF4,8379.462,existing_exact,high,existing_exact,
4,83912227,"Dissection Forceps, Monopolar, 3.5 mm (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-FD23D11B2B,83912227,existing_exact,high,existing_exact,
5,83912167,"Double Spoon Forceps, Monopolar, 3.5 mm (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-C9FE364632,83912167,existing_exact,high,existing_exact,
6,806625301,"Fiber Light Cable 2.5 mm, 3 m (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-F1A94DDA3B,806625301,existing_exact,high,existing_exact,
7,8379.452,"Hook Electrode, Monopolar, 3.5 mm, WL 310 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-95B12463A5,8379.452,existing_exact,high,existing_exact,
8,89204015,"Operative Telescope 5.5 mm, 0°, with 3.5 mm Working Channel (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-F53A443D66,89204015,existing_exact,high,existing_exact,
9,8380.68,"Suction Tube, 2.8 mm, WL 450 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-41AAD08DBF,8380.68,existing_exact,high,existing_exact,
10,8919.3311,"Trocar, Dull Tip, 5.5 mm, WL 104 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-E8AA815321,8919.3311,existing_exact,high,existing_exact,
11,8906.151,"Trocar, Threaded, Dull Tip, 5.5 mm, WL 83 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-8B374A11AC,8906.151,existing_exact,high,existing_exact,
13,K20T-00033,ASPIRA® DRAINAGE SYSTEM - Contains additional accessories to help with catheter insertion,Merit Medical Systems,401418001.pdf,PDF p. 14,existing_exact,PRD-56DF49383B,K20T-00033,exact_identifier,high,exact_identifier,
