input_row_number,extracted_identifier,extracted_product_name,extracted_manufacturer,source_filename,matched_source_page,disposition,canonical_product_id,canonical_catalog_number,match_basis,evidence_strength,reason_code,owner_review_note
2,Magneto Holmium Laser,Magneto Holmium Laser,Quanta System,2025-Distribution-Magneto-Holmium-Laser.pdf,PDF page indices 1-2; Product Features & Specifications on printed p. 2,irrelevant_to_current_scope,,,irrelevant_to_current_scope,high,irrelevant_to_current_scope,"The ForTec flyer identifies Magneto but markets it for lithotripsy, BPH, and generic soft tissue; it states no pulmonology/airway use and supplies no exact orderable SKU. The current Quanta Holmium Laser mobile-service row is only a related family/service candidate, not this model."
55,FBG10,DRAINAGE ACCESSORIES,Merit Medical Systems,401418001.pdf,PDF p. 18,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
56,K12-08324,DRAINAGE ACCESSORIES - 12F x 20 cm,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
57,K12-08325,DRAINAGE ACCESSORIES - 14F x 20 cm,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
58,L3SNC,DRAINAGE ACCESSORIES - 3-way Large Bore Stopcock,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
59,L4SNC,DRAINAGE ACCESSORIES - 4-way Large Bore Stopcock,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
60,RLS100,DRAINAGE ACCESSORIES - 5 Labels (orange) with Pen,Merit Medical Systems,401418001.pdf,PDF p. 18,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
61,K12-08326,"DRAINAGE ACCESSORIES - Chiba, 18G x 15 cm",Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
62,VAC110,"DRAINAGE ACCESSORIES - VacLok® Syringe, 10 mL",Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
63,VAC120,"DRAINAGE ACCESSORIES - VacLok® Syringe, 20 mL",Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
