manufacturer,total_rows,rows_with_identifier,unique_source_filenames,existing_exact,existing_alias_or_format_variant,existing_family_or_package_variant,new_product_added,relevant_but_insufficient_identity,relevant_family_level_only,duplicate_source_row,irrelevant_to_current_scope,source_document_missing,source_evidence_conflicted,needs_owner_review
KARL STORZ,464,460,5,0,0,17,127,0,4,0,313,0,0,3
Merit Medical Systems,314,305,16,10,0,0,109,3,4,11,177,0,0,0
Richard Wolf,178,178,2,172,5,0,0,0,0,0,0,0,1,0
Novatech,169,168,7,163,0,1,0,0,1,0,0,0,4,0
Olympus,169,169,7,107,2,0,0,0,0,0,60,0,0,0
Karl Storz,151,151,3,151,0,0,0,0,0,0,0,0,0,0
ERBE,118,118,3,118,0,0,0,0,0,0,0,0,0,0
Cook Medical,87,87,15,34,5,0,31,0,3,14,0,0,0,0
Hood Laboratories,55,55,1,1,0,0,54,0,0,0,0,0,0,0
Cardinal Health,45,45,1,1,10,0,21,0,0,0,13,0,0,0
Medtronic,40,35,15,1,10,4,12,0,0,0,1,0,0,12
M.I. Tech / Thoracent,39,39,1,0,0,0,0,0,0,0,0,0,39,0
Ethicon / Johnson & Johnson,27,27,1,5,0,0,12,0,0,0,10,0,0,0
STERIS,27,27,1,0,0,0,0,0,0,0,27,0,0,0
Micro-Tech Endoscopy,23,21,3,19,0,0,0,0,0,0,4,0,0,0
Teleflex / Pilling,23,23,1,0,0,0,23,0,0,0,0,0,0,0
FUJIFILM,19,19,3,10,0,0,1,0,0,2,6,0,0,0
Micro-Tech Endoscopy / Thoracent,19,19,1,0,0,0,0,0,0,19,0,0,0,0
Thoracent / Micro-Tech Endoscopy,10,10,3,0,6,0,2,0,0,0,0,0,2,0
Ambu,9,7,4,4,0,2,0,0,0,0,0,0,3,0
Pinnacle Biologics,8,1,1,1,7,0,0,0,0,0,0,0,0,0
Galvanize Therapeutics,7,3,2,0,4,0,0,0,0,3,0,0,0,0
BD / CareFusion,6,6,1,3,0,0,3,0,0,0,0,0,0,0
Body Vision Medical,5,3,2,0,2,0,0,0,0,2,0,0,1,0
ForTec Medical,5,0,1,0,0,5,0,0,0,0,0,0,0,0
Quanta System,4,2,3,0,1,0,0,1,0,1,1,0,0,0
Not stated in source,3,2,3,0,1,0,0,1,0,0,1,0,0,0
Pulmonx,3,2,2,1,0,1,1,0,0,0,0,0,0,0
"Auris Health, Inc.",2,2,2,0,0,1,0,0,0,0,0,0,0,1
FUJIFILM Healthcare Americas Corporation,2,2,1,0,1,0,0,0,0,1,0,0,0,0
GE HealthCare,2,1,1,0,1,0,0,0,0,1,0,0,0,0
PENTAX Medical,2,2,2,0,0,0,1,0,1,0,0,0,0,0
Siemens Healthineers,2,1,1,0,1,0,0,0,0,1,0,0,0,0
Ziehm Imaging,2,1,1,0,1,0,0,0,0,1,0,0,0,0
A.R.C. Laser,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Beacon,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Boston Scientific,1,0,1,0,0,0,0,0,0,0,1,0,0,0
CSA Medical,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Erbe Elektromedizin,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Ethicon,1,0,1,1,0,0,0,0,0,0,0,0,0,0
FUJIFILM Corporation,1,1,1,0,1,0,0,0,0,0,0,0,0,0
GIGAA,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Hitachi / FUJIFILM Healthcare,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Hood Laboratories / EFER,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Intuitive Surgical,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Invenio Imaging,1,0,1,0,1,0,0,0,0,0,0,0,0,0
LISA Laser Products,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Micro-Tech USA / Micro-Tech Endoscopy,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Noah Medical Corporation,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Nuvaira,1,0,1,0,1,0,0,0,0,0,0,0,0,0
OmniGuide,1,0,1,0,0,0,0,0,0,1,0,0,0,0
OmniGuide / ForTec Medical,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Scivita Medical Technology,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Thoracent,1,1,1,0,1,0,0,0,0,0,0,0,0,0
biolitec,1,0,1,0,0,0,0,0,0,0,0,0,1,0
