review_batch_id,review_batch_manufacturer,review_batch_product_count,input_row_numbers,product_id,manufacturer_id,manufacturer,catalog_number,product_name,brand_family,primary_category,subcategory,product_kind,role_code,verification_grade,visibility_state,evidence,strongest_duplicate_candidates,duplicate_rejection
B01-bd,BD,3,1221,PRD-559ABA4333,MFR-E3F284CAE2,BD,50-7280A,PleurX Catheter Access Kit,,Pleural procedures,IPC management accessory,,IPC_MANAGEMENT_ACCESSORY,verified_source,hidden,SRC082: Document p. 2/4 (PDF page 2),Existing PleurX 50-7290A procedure pack and 50-7500B drainage kit differ in contents and exact SKU,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B01-bd,BD,3,1223,PRD-26B3901F8D,MFR-E3F284CAE2,BD,50-7245A,PleurX Lockable Drainage Line,,Pleural procedures,IPC management accessory,,IPC_MANAGEMENT_ACCESSORY,verified_source,hidden,SRC082: Document p. 2/4 (PDF page 2),Existing PleurX 50-7290A procedure pack and 50-7500B drainage kit differ in contents and exact SKU,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B01-bd,BD,3,1224,PRD-9026C9E403,MFR-E3F284CAE2,BD,50-7265A,PleurX Lockable Drainage Line Kit,,Pleural procedures,IPC management accessory,,IPC_MANAGEMENT_ACCESSORY,verified_source,hidden,SRC082: Document p. 2/4 (PDF page 2),Existing PleurX 50-7290A procedure pack and 50-7500B drainage kit differ in contents and exact SKU,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,651,PRD-2B0E9C0AA9,MFR-90D85DB52E,Cardinal Health,888570507K,"Argyle PVC Thoracic Catheter — Straight, 12 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888570507 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,658,PRD-5930BC6020,MFR-90D85DB52E,Cardinal Health,888571018K,"Argyle PVC Thoracic Catheter — Right-angle, 16 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888571018 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,659,PRD-BB0E29F07F,MFR-90D85DB52E,Cardinal Health,888571026K,"Argyle PVC Thoracic Catheter — Right-angle, 20 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888571026 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,660,PRD-C93C97F54C,MFR-90D85DB52E,Cardinal Health,888571034K,"Argyle PVC Thoracic Catheter — Right-angle, 24 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888571034 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,662,PRD-9F36AD4CFE,MFR-90D85DB52E,Cardinal Health,888571059K,"Argyle PVC Thoracic Catheter — Right-angle, 32 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888571059 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,663,PRD-82374FBBE1,MFR-90D85DB52E,Cardinal Health,888571067K,"Argyle PVC Thoracic Catheter — Right-angle, 36 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888571067 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,664,PRD-C31B1B8423,MFR-90D85DB52E,Cardinal Health,888571075K,"Argyle PVC Thoracic Catheter — Right-angle, 40 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888571075 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
