input_row_number,extracted_identifier,extracted_product_name,extracted_manufacturer,source_filename,matched_source_page,disposition,canonical_product_id,canonical_catalog_number,match_basis,evidence_strength,reason_code,owner_review_note
1,Not stated in source,Micro-Tech Tracheal Stent System (Y-Shaped),Micro-Tech USA / Micro-Tech Endoscopy,1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,Document p. Not separately numbered / see PDF index (PDF page 1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf:13),existing_family_or_package_variant,,,existing_family_or_package_variant,moderate,existing_family_or_package_variant,IFU family row has no exact order number; current catalog already contains the exact TT81670-TT81850 configurations.
2,Magneto Holmium Laser,Magneto Holmium Laser,Quanta System,2025-Distribution-Magneto-Holmium-Laser.pdf,PDF page indices 1-2; Product Features & Specifications on printed p. 2,irrelevant_to_current_scope,,,irrelevant_to_current_scope,high,irrelevant_to_current_scope,"The ForTec flyer identifies Magneto but markets it for lithotripsy, BPH, and generic soft tissue; it states no pulmonology/airway use and supplies no exact orderable SKU. The current Quanta Holmium Laser mobile-service row is only a related family/service candidate, not this model."
3,8379.462,"Coagulation Electrode, Button, Monopolar, 3.5 mm, WL 310 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-8E3A12AFF4,8379.462,existing_exact,high,existing_exact,
4,83912227,"Dissection Forceps, Monopolar, 3.5 mm (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-FD23D11B2B,83912227,existing_exact,high,existing_exact,
5,83912167,"Double Spoon Forceps, Monopolar, 3.5 mm (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-C9FE364632,83912167,existing_exact,high,existing_exact,
6,806625301,"Fiber Light Cable 2.5 mm, 3 m (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-F1A94DDA3B,806625301,existing_exact,high,existing_exact,
7,8379.452,"Hook Electrode, Monopolar, 3.5 mm, WL 310 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-95B12463A5,8379.452,existing_exact,high,existing_exact,
8,89204015,"Operative Telescope 5.5 mm, 0°, with 3.5 mm Working Channel (bundle)",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-F53A443D66,89204015,existing_exact,high,existing_exact,
9,8380.68,"Suction Tube, 2.8 mm, WL 450 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-41AAD08DBF,8380.68,existing_exact,high,existing_exact,
10,8919.3311,"Trocar, Dull Tip, 5.5 mm, WL 104 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-E8AA815321,8919.3311,existing_exact,high,existing_exact,
11,8906.151,"Trocar, Threaded, Dull Tip, 5.5 mm, WL 83 mm",Richard Wolf,2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,Mini-Thoracoscopy Set ordering table,existing_exact,PRD-8B374A11AC,8906.151,existing_exact,high,existing_exact,
12,Not stated in source,One-Step Centesis Catheter,Merit Medical Systems,401295001.pdf,Document p. not stated (PDF page 1),relevant_family_level_only,,,relevant_family_without_exact_orderable_identifier,moderate,relevant_family_without_exact_orderable_identifier,
13,K20T-00033,ASPIRA® DRAINAGE SYSTEM - Contains additional accessories to help with catheter insertion,Merit Medical Systems,401418001.pdf,PDF p. 14,existing_exact,PRD-56DF49383B,K20T-00033,exact_identifier,high,exact_identifier,
14,ASP-10,ASPIRA® DRAINAGE SYSTEM - Drainage Kit with Bottle/Dressing Kit,Merit Medical Systems,401418001.pdf,PDF p. 14,existing_exact,PRD-CC55BDA6C8,ASP-10,exact_identifier,high,exact_identifier,
15,ASP-4,ASPIRA® DRAINAGE SYSTEM - Drainage Kit with Bottle/Dressing Kit,Merit Medical Systems,401418001.pdf,PDF p. 14,existing_exact,PRD-A5F6B25BCB,ASP-4,exact_identifier,high,exact_identifier,
16,PLS165,"ASPIRA® DRAINAGE SYSTEM - Valved Splittable Sheath Introducer, 16.5F",Merit Medical Systems,401418001.pdf,PDF p. 14,new_product_added,PRD-6A9EE6FB1B,PLS165,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
17,OSC-4F-10L,Centesis Catheter - 4F; 10 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-6B4693A19A,OSC-4F-10L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
18,OSC-4F-10S,Centesis Catheter - 4F; 10 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-10B6E6001C,OSC-4F-10S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
19,OSC-4F-12PL,Centesis Catheter - 4F; 12 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-8474F25510,OSC-4F-12PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
20,OSC-4F-12PS,Centesis Catheter - 4F; 12 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-53EC805ADF,OSC-4F-12PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
21,OSC-4F-17PL,Centesis Catheter - 4F; 17 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-0594E8207A,OSC-4F-17PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
22,OSC-4F-17PS,Centesis Catheter - 4F; 17 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-8F25A1FB01,OSC-4F-17PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
23,OSC-4F-7L,Centesis Catheter - 4F; 7 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-0BB94EB28B,OSC-4F-7L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
24,OSC-4F-7S,Centesis Catheter - 4F; 7 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-FEBFE797DD,OSC-4F-7S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
25,OSC-5F-10L,Centesis Catheter - 5F; 10 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-0F0636013C,OSC-5F-10L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
