manufacturer,catalog_number,alternate_identifiers,gtin,normalized_catalog_number,baseline_products_compared,strongest_duplicate_candidates,final_result,canonical_product_id
Medtronic,1899200,,,1899200,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-9163FB693E
Medtronic,1899076,,,1899076,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-D5621CD59E
Medtronic,1884035HRE,,,1884035HRE,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-3E1556EBE5
Medtronic,1884033HRE,,,1884033HRE,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-5CF4F1857F
Medtronic,1884033,,,1884033,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-5592532651
Medtronic,1884032,,,1884032,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-E23034FC46
Medtronic,1884031HRE,,,1884031HRE,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-378597DD7A
Medtronic,1882937E,,,1882937E,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-7DFA867CB6
Medtronic,1882936E,,,1882936E,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-7B8C092373
Axess Vision Technology S.A.S.,10040001,,03664977000103,10040001,1929,Axess Vision Technology S.A.S. remains the sole legal manufacturer; TSC Life US is distributor/brand context and does not create a duplicate manufacturer.,new_unique_exact_product,PRD-2632FFBF07
Axess Vision Technology S.A.S.,20030001,,03664977020033,20030001,1929,Axess Vision Technology S.A.S. remains the sole legal manufacturer; TSC Life US is distributor/brand context and does not create a duplicate manufacturer.,new_unique_exact_product,PRD-D55094A08A
Axess Vision Technology S.A.S.,30030000,,,30030000,1929,30030000 and 30030001 are separately listed package configurations. Only 30030001 carries the corroborated primary DI; 30030000 is retained without that GTIN.,new_unique_exact_product,PRD-181DE98372
Axess Vision Technology S.A.S.,30030001,,03664977030032,30030001,1929,30030000 and 30030001 are separately listed package configurations. Only 30030001 carries the corroborated primary DI; 30030000 is retained without that GTIN.,new_unique_exact_product,PRD-6F15A8C9B5
Axess Vision Technology S.A.S.,41010000,,03664977000042,41010000,1929,Axess Vision Technology S.A.S. remains the sole legal manufacturer; TSC Life US is distributor/brand context and does not create a duplicate manufacturer.,new_unique_exact_product,PRD-0A90C0B244
Axess Vision Technology S.A.S.,30030303,,,30030303,1929,Axess Vision Technology S.A.S. remains the sole legal manufacturer; TSC Life US is distributor/brand context and does not create a duplicate manufacturer.,new_unique_exact_product,PRD-1B6B236545
Axess Vision Technology S.A.S.,30030010,,,30030010,1929,Axess Vision Technology S.A.S. remains the sole legal manufacturer; TSC Life US is distributor/brand context and does not create a duplicate manufacturer.,new_unique_exact_product,PRD-07A1B4DA10
Axess Vision Technology S.A.S.,31010008,,,31010008,1929,Axess Vision Technology S.A.S. remains the sole legal manufacturer; TSC Life US is distributor/brand context and does not create a duplicate manufacturer.,new_unique_exact_product,PRD-AAECD27F75
