product_id,manufacturer,catalog_number,alternate_identifiers,product_name,origin,verification_grade,visibility_state,role_code,taxonomy_class,taxonomy_subtype,evidence
PRD-9163FB693E,Medtronic,1899200,,StraightShot M5 Microdebrider Handpiece,official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_handpiece,"SRC090: Ordering information, CFNs 1899200 and 1899076"
PRD-D5621CD59E,Medtronic,1899076,,StraightShot M5 Instrument Tray,official_web_follow_up,verified_source,hidden,intentionally_roleless,powered_shaver,shaver_accessory,"SRC090: Ordering information, CFNs 1899200 and 1899076"
PRD-3E1556EBE5,Medtronic,1884035HRE,,"Tricut 4.0 mm Angle-Tip Bronchial Blade, 45 cm",official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_instrument,SRC091: Airway Blades ordering information table
PRD-5CF4F1857F,Medtronic,1884033HRE,,"Tricut 4.0 mm Angle-Tip Tracheal Blade, 37 cm",official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_instrument,SRC091: Airway Blades ordering information table
PRD-5592532651,Medtronic,1884033,,"Serrated 4.0 mm Angle-Tip Tracheal Blade, 37 cm",official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_instrument,SRC091: Airway Blades ordering information table
PRD-E23034FC46,Medtronic,1884032,,"Airway 4.0 mm Straight Tracheal Blade, 37 cm",official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_instrument,SRC091: Airway Blades ordering information table
PRD-378597DD7A,Medtronic,1884031HRE,,"Tricut 4.0 mm Angle-Tip Subglottic Blade, 27 cm",official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_instrument,SRC091: Airway Blades ordering information table
PRD-7DFA867CB6,Medtronic,1882937E,,"Serrated 2.9 mm Angle-Tip Tracheal Blade, 18 cm",official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_instrument,SRC091: Airway Blades ordering information table
PRD-7B8C092373,Medtronic,1882936E,,"Serrated 2.9 mm Angle-Tip Tracheal Blade, 22 cm",official_web_follow_up,verified_source,hidden,RIGID_BRONCH_SHAVER,powered_shaver,shaver_instrument,SRC091: Airway Blades ordering information table
PRD-2632FFBF07,Axess Vision Technology S.A.S.,10040001,,Broncoflex XFlo 5.6/3.0 Single-Use Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 1, Broncoflex ordering panel | SRC092: Broncoflex system and specification tables | SRC094: AccessGUDID Primary DI 03664977000103"
PRD-D55094A08A,Axess Vision Technology S.A.S.,20030001,,Broncoflex Agile 3.9/1.4 Single-Use Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 1, Broncoflex ordering panel | SRC092: Broncoflex system and specification tables | SRC094: AccessGUDID Primary DI 03664977020033"
PRD-181DE98372,Axess Vision Technology S.A.S.,30030000,,Screeni Video Processor with Accessories,owner_pdf,verified_source,hidden,VIDEO_PROCESSOR,console_capital,video_processor,"SRC089: Rendered PDF page 1, Screeni references 30030000 / 30030001 | SRC093: Screeni technical datasheet"
PRD-6F15A8C9B5,Axess Vision Technology S.A.S.,30030001,,Screeni Video Processor without Accessories,owner_pdf,verified_source,hidden,VIDEO_PROCESSOR,console_capital,video_processor,"SRC089: Rendered PDF page 1, Screeni references 30030000 / 30030001 | SRC093: Screeni technical datasheet | SRC094: AccessGUDID Primary DI 03664977030032"
PRD-0A90C0B244,Axess Vision Technology S.A.S.,41010000,,Easy BAL Clip,owner_pdf,verified_source,hidden,intentionally_roleless,accessory,platform_accessory,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information | SRC094: AccessGUDID Primary DI 03664977000042"
PRD-1B6B236545,Axess Vision Technology S.A.S.,30030303,,Screeni Knurled Screw,owner_pdf,verified_source,hidden,intentionally_roleless,accessory,platform_accessory,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information"
PRD-07A1B4DA10,Axess Vision Technology S.A.S.,30030010,,Screeni Quick Mounting Bracket,owner_pdf,verified_source,hidden,intentionally_roleless,accessory,platform_accessory,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information"
PRD-AAECD27F75,Axess Vision Technology S.A.S.,31010008,,Screeni Medical-Grade Power Supply,owner_pdf,verified_source,hidden,intentionally_roleless,accessory,platform_accessory,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information"
PRD-1ED27ADA45,Praxis Medical LLC,ENDO-BV-22G-Kit-O,ENDO-BV-22G-O; Primary DI 00850081350033,"EndoCore 22G Bevel Tip EBUS Needle, Olympus Configuration",owner_pdf,verified_source,hidden,EBUS_NEEDLE_FNA,needle,ebus_tbna_needle,"SRC089: Rendered PDF page 2, EndoCore ordering table | SRC095: EndoCore product and ordering information | SRC096: AccessGUDID Primary DI 00850081350033"
PRD-AC45D3E510,Praxis Medical LLC,ENDO-FR-22G-Kit-O,ENDO-FR-22G-O; Primary DI 00850081350040,"EndoCore 22G Franseen EBUS Needle, Olympus Configuration",owner_pdf,verified_source,hidden,EBUS_NEEDLE_FNB,needle,ebus_tbna_needle,"SRC089: Rendered PDF page 2, EndoCore ordering table | SRC095: EndoCore product and ordering information | SRC096: AccessGUDID Primary DI 00850081350040"
