source_filename,sha256,manufacturer,page_count,pages_with_candidates,candidate_count,ordering_heading_pages,matrix_pages,high_risk,review_method,accepted_new_products,existing_exact,existing_alias_or_format_variant,previously_accounted_csv,duplicate_source_occurrence,needs_owner_review,relevant_but_insufficient_identity,relevant_family_level_only,source_evidence_conflicted,irrelevant_to_current_scope,not_a_product_identifier
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,26502b2e998a662b8d1b37c9b24b670734f05b870d7c42b71be606dba34bcb98,Micro-Tech USA / Micro-Tech Endoscopy,16,7,27,1,3,true,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,27
1-s2.0-S0846537114000175-main.pdf,5b16bc6ba808ba1b830ab7e63f759ec41d48140f510757056b6a1154526cb3f1,Not stated / unreferenced source,14,14,102,3,3,true,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,102
2025-Distribution-Magneto-Holmium-Laser.pdf,84f4db00cb38138c0127cea34230d3fae12b442643e7ac4ec185be7e76dcb53a,Quanta System,2,1,3,0,1,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,3
2323-07.01-0624USA_Mini_Thoracoscopy_Set_SS.pdf,7de8bf21a24ddd98d332e731c82747c36a8a97f98ab9d25a07847fffd898c866,Richard Wolf,2,1,2,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,2
401295001.pdf,f370d5e55b2184f0d16d296990426fb63c03ee4e8bec661753af2f4ad2112b8c,Merit Medical Systems,1,1,2,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,2
401418001.pdf,b15105866f9a164870ae8911d717e499cab3f4c87b622d8fe612fd3a58d08381,Merit Medical Systems,20,19,315,0,5,true,corpus_text_extraction,0,106,0,170,0,0,1,0,0,20,18
401423001-A.pdf,834099c65982aef4669213076cea653fe5d0e77bc228bc5f2836c1d38ccb6961,Merit Medical Systems,5,1,34,0,1,true,corpus_text_extraction,0,8,0,19,0,0,0,0,0,2,5
402036009.pdf,03d852657d8902848201d8c8e4b86708a879277a3975cb71c81b70e6213d9200,Merit Medical Systems,2,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
402955010.pdf,ad5860a014f8f1b1f6c04d2771b9a5cb1f6a6e5f1f340d8b7058f19cab9f8ae5,Merit Medical Systems,4,1,2,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,2
402955010MLP.pdf,bb51524641de1681f0ca5cdc917047ca0ac0c52ca808b2b712797fd9045f5f1a,Merit Medical Systems,80,28,4,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,4
402955011ZHP.pdf,ffbbe309d0b60695bcac4b34584880d5da9c32fcae41477c7f83d4daea2292bf,Merit Medical Systems,3,3,42,0,2,true,corpus_text_extraction,0,0,0,22,0,13,4,0,0,0,3
402955013ZHP.pdf,6e37935879c372ad15188829b7af6a8594a3215aea45de394ab3544cd5fe0b73,Merit Medical Systems,3,3,32,0,3,true,corpus_text_extraction,0,0,0,22,0,4,4,0,0,0,2
406168001MLP.pdf,2dc4ea117832c700abf9a3cfb4368789e229e9e35bfee6927667cb56b3772511,Merit Medical Systems,56,7,5,0,1,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,5
85100-165_Cables-and-adapters.pdf,7262743f1b75e7b34b6a24c7adc7cbc6a947d8443e80eab51a939663f764b7ab,ERBE,20,8,7,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,7
85100-169_APC-accessories.pdf,57c5f52ee930daea8d015b70d60574bfaec9be2ee265948f35499c0199caa6a2,ERBE,12,3,4,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,4
85100-170_Cryosurgery.pdf,ee9ca65df8bbc59ed0b39b9f2e07f38f0d63fc53cc367cec7a983687fc6fb819,ERBE,8,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
ARIETTA-A850_Brochure_EN_53045.pdf,a68447a4dba9d9c4c4e036ebeb49594feb761c3b618cb9efb2cba03423e88eed,Hitachi / FUJIFILM Healthcare,6,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
AccessGUDID - (&quot;Monarch Bronchoscope&quot;)2.pdf,8ca999d474bebae7164bb18c00f3dbc8633dc7844721ce14e1a050b80286968e,"Auris Health, Inc.; Not stated in source",2,2,15,2,0,true,corpus_text_extraction,0,0,0,1,0,2,0,0,0,12,0
AccessGUDID - (&quot;Monarch Bronchoscope&quot;3).pdf,e1e7575f5a3d1eeccf2d6dabc577fb08ad1b1094efa93916fed630d6fa83e061,"Auris Health, Inc.; Noah Medical Corporation",2,2,6,2,0,true,corpus_text_extraction,0,1,0,1,0,0,4,0,0,0,0
Aliya System – Galvanize.pdf,72aebdb017349e93fb90accad1ba572d6b29f5a122bfd20af3b21019fd5ade6f,Galvanize Therapeutics,13,6,9,0,1,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,9
BLAKE-Drains-Brochure-050018-210310.pdf,d2f7fdc41c9278b135b97c93409c437118c1198a3fdabc418f342561ea60a616,Ethicon / Johnson & Johnson,11,6,21,1,2,true,corpus_text_extraction,0,0,0,3,0,0,0,0,0,0,18
BMP-MR-PCA-Interventional_Pulmonology_EN.pdf,bd6ff72098367cbf11528f3fea58fa3e9571c5744a331fa71b9c62d7f5358c98,Novatech,32,10,84,8,4,true,corpus_text_extraction,0,80,0,0,0,0,0,0,0,0,4
Biopsy Forceps - Pulmonary - Thoracent.pdf,5cfbe2e0f823a315f5b4235941dd126f68ba0a767b3cc9281b3de60bfee775d6,Thoracent,3,1,1,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,1
Blue Rhino® G2-Multi Percutaneous Tracheostomy Introducer Sets and Trays _ Cook Medical.pdf,deaf57f7f6cfbe6ccba8d135ad770258ee5b2ac75e238d220a4b1c99528b0ff7,Cook Medical,66,66,48,66,0,true,corpus_text_extraction+rendered_manual_inspection,15,6,5,1,15,0,0,0,0,0,6
Brochure-BodyVision_MOSS.pdf,df4b7abe5a8956ab275ea06b23b7fb4d57b9f612b532aad5587e17683fe8c6f1,Body Vision Medical,4,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
Bronchoscope-Matrix-Chart_41656 (1).pdf,148441c04eae5f13a79e219c5cd5dd863e3e24b03084fc257b7449a74b7f21de,Olympus,1,1,17,0,1,true,corpus_text_extraction,0,14,0,0,0,2,0,0,0,0,1
Bronchoscopes - Pulmonology - Olympus Medical Systems.pdf,7a8e09c7b728062230eec9fd5bf9fbb5478684982f02962ea69a7c815c43e7d3,Olympus,4,4,8,0,1,false,corpus_text_extraction,0,8,0,0,0,0,0,0,0,0,0
CC-BUSCALAM-EBSMP-EN-201407_1654867609049.pdf,fa60b84793030d1be492e16a0e0a807db781a3ff261d87ef8ab69d891283187d,Cook Medical,4,3,11,2,1,false,corpus_text_extraction,0,4,4,0,0,0,0,0,0,0,3
CC-D55061-EN-F_M3_1599145301215.pdf,332f75ffb073b19336bf99334c1366e88149adad954af5bd70b8d7fedc987332,Medtronic,2,2,2,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,2
CC-D67629-EN-F_IA_1683223150514 (1).pdf,c46aa95be1ed2d93911375edc81aa3382efd1d8354d4301efbc3c4830777138b,Cook Medical,20,13,97,12,9,true,corpus_text_extraction,0,39,27,10,21,0,0,0,0,0,0
CC-D67629-EN-F_IA_1683223150514.pdf,c46aa95be1ed2d93911375edc81aa3382efd1d8354d4301efbc3c4830777138b,Cook Medical,20,13,97,12,9,true,corpus_text_extraction+rendered_manual_inspection,3,39,27,10,11,4,0,0,0,0,3
CC-WF912959-EN-F_M3_1771864966276.pdf,b2486d72600b13ef62c49fb5bb579480dc79b65be793a75334280d8050a0ec8f,Cook Medical,2,1,17,1,1,true,corpus_text_extraction,0,8,8,0,0,0,0,0,0,0,1
CC-WF913096-EN-F_M3_1772121134246.pdf,298e94d843fc37615b2b9403acbf5b12da3779d703f9e27860e7f8d8ee814cfa,Cook Medical,2,1,9,1,1,true,corpus_text_extraction,0,4,4,0,0,0,0,0,0,0,1
C_T_PPD_REV6.pdf,61d00224f31c1cb5901236bcdf6b180ba93000c86c9bd65dc62d793c6497c95b,Cook Medical,28,2,1,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,1
