filename,table_sections,correction_disposition
401418001.pdf,2-7;10-13;15-17,risk-screened against PR118 reconciliation; no correction-cohort candidate
402955011ZHP.pdf,2-3,risk-screened against PR118 reconciliation; no correction-cohort candidate
402955013ZHP.pdf,2-3,risk-screened against PR118 reconciliation; no correction-cohort candidate
BMP-MR-PCA-Interventional_Pulmonology_EN.pdf,12-14;24-25,risk-screened against PR118 reconciliation; no correction-cohort candidate
CC-D67629-EN-F_IA_1683223150514 (1).pdf,10-13,risk-screened against PR118 reconciliation; no correction-cohort candidate
CC-D67629-EN-F_IA_1683223150514.pdf,10-13,risk-screened against PR118 reconciliation; no correction-cohort candidate
EFER-BRONCHOSCOPE-USER-MANUAL.pdf,10-12,risk-screened against PR118 reconciliation; no correction-cohort candidate
NOV-MR-PCA-Instruments_CA003_EN.pdf,8-9,risk-screened against PR118 reconciliation; no correction-cohort candidate
NOV-MR-PCA-SST_DUMON-GSS_CA001_EN.pdf,12-15,risk-screened against PR118 reconciliation; no correction-cohort candidate
OAIET0124CAT51005_EndoTherapy Catalog_Interactive_2024.pdf,10-12;14-18;22-26;28-29;32-33;37-38;40-41;43-45;47-54;58-59;62-63;65-67;70-75;89-91;93-94;96-97;101-106;108-109;111-112;117-119;123-125,risk-screened against PR118 reconciliation; no correction-cohort candidate
OAIGI0121CAT38678_RA.pdf,2-3;36-39;42-43;72-73;87-89,risk-screened against PR118 reconciliation; no correction-cohort candidate
Product-Catalog-MPW10000H-Rev-3-web-1.pdf,7-9;12-14;28-31;35-39;50-56;61-64;67-76,risk-screened against PR118 reconciliation; no correction-cohort candidate
Shiley™ Flexible Adult Tracheostomy Tube _ Medtronic.pdf,4-6,14 candidates: 13 added; 1 source conflict
Shiley™ XLT Extended Length Tracheostomy Tube _ Medtronic.pdf,4-5,8 additional candidates: 8 added
cardinal-health-cardiothoratic-catalog.pdf,3-4,risk-screened against PR118 reconciliation; no correction-cohort candidate
hood-labs-F973-Airway-catalog-6-2022.pdf,4-8;12-13,risk-screened against PR118 reconciliation; no correction-cohort candidate
novatech__stents_pulmonares__catalogo.pdf,12-15,risk-screened against PR118 reconciliation; no correction-cohort candidate
