candidate_id,origin,manufacturer,legal_manufacturer,brand_or_distributor,catalog_number,alternate_identifier,product_name,source_evidence,source_scope,original_csv_status,canonical_status_before,exact_identifier_confidence,clinical_scope_disposition,disposition,canonical_product_id,role_assignment,taxonomy_class,taxonomy_subtype,taxonomy_confidence,owner_review_required,rationale
SC-CAND-001,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,4CN65R,,Shiley Flexible Adult Cuffed Tracheostomy Tube with Reusable Inner Cannula — 4CN65R,"SRC083: Shiley flexible adult tracheostomy tube table, PDF pages 5-6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-9167283C52,TRACH_TUBE_CUFFED,tracheostomy_tube,cuffed_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-002,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,5CN70R,,Shiley Flexible Adult Cuffed Tracheostomy Tube with Reusable Inner Cannula — 5CN70R,"SRC083: Shiley flexible adult tracheostomy tube table, PDF pages 5-6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-D51CBB0DEE,TRACH_TUBE_CUFFED,tracheostomy_tube,cuffed_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-003,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,6CN75R,,Shiley Flexible Adult Cuffed Tracheostomy Tube with Reusable Inner Cannula — 6CN75R,"SRC083: Shiley flexible adult tracheostomy tube table, PDF pages 5-6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-AA2895A2EB,TRACH_TUBE_CUFFED,tracheostomy_tube,cuffed_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-004,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,8CN85R,,Shiley Flexible Adult Cuffed Tracheostomy Tube with Reusable Inner Cannula — 8CN85R,"SRC083: Shiley flexible adult tracheostomy tube table, PDF pages 5-6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-F22D94D3A5,TRACH_TUBE_CUFFED,tracheostomy_tube,cuffed_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-005,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,9CN90R,,Shiley Flexible Adult Cuffed Tracheostomy Tube with Reusable Inner Cannula — 9CN90R,"SRC083: Shiley flexible adult tracheostomy tube table, PDF pages 5-6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-18DFC39794,TRACH_TUBE_CUFFED,tracheostomy_tube,cuffed_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-006,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,10CN10R,,Shiley Flexible Adult Cuffed Tracheostomy Tube with Reusable Inner Cannula — 10CN10R,"SRC083: Shiley flexible adult tracheostomy tube table, PDF pages 5-6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-58CCB8208E,TRACH_TUBE_CUFFED,tracheostomy_tube,cuffed_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-007,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,4UN65R,,Shiley Flexible Adult Cuffless Tracheostomy Tube with Reusable Inner Cannula — 4UN65R,"SRC083: Shiley flexible adult cuffless tracheostomy tube table, PDF page 6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-529643988C,TRACH_TUBE_CUFFLESS,tracheostomy_tube,cuffless_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-008,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,5UN70R,,Shiley Flexible Adult Cuffless Tracheostomy Tube with Reusable Inner Cannula — 5UN70R,"SRC083: Shiley flexible adult cuffless tracheostomy tube table, PDF page 6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-38079F20BD,TRACH_TUBE_CUFFLESS,tracheostomy_tube,cuffless_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-009,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,6UN75R,,Shiley Flexible Adult Cuffless Tracheostomy Tube with Reusable Inner Cannula — 6UN75R,"SRC083: Shiley flexible adult cuffless tracheostomy tube table, PDF page 6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-46C823F8EC,TRACH_TUBE_CUFFLESS,tracheostomy_tube,cuffless_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
SC-CAND-010,old_corpus,Medtronic,Medtronic,Shiley Flexible Adult Tracheostomy Tube,7UN80R,,Shiley Flexible Adult Cuffless Tracheostomy Tube with Reusable Inner Cannula — 7UN80R,"SRC083: Shiley flexible adult cuffless tracheostomy tube table, PDF page 6 | SRC046: AccessGUDID Delimited Full Release 20260723 exact-device row",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-41C846CC8F,TRACH_TUBE_CUFFLESS,tracheostomy_tube,cuffless_tracheostomy_tube,high,no,A deterministic page-by-page table extraction found the exact R-series row outside the original CSV; rendered manufacturer tables and exact FDA evidence support this in-scope identity.
