CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
0	7.89238	119.834	0.023268	0.0279518	0.0741071	8.19553	177.101	-59.5284	11.6802	154.757	-168.779
1	5.19938	54.8833	0.0197859	-0.0487205	0.0218599	11.6802	154.757	-168.779	-32.21	161.757	-198.934
2	4.03869	10.2564	0.031445	0	0.00496499	-32.21	161.757	-198.934	-37.7801	156.934	-205.995
3	3.09099	23.4381	0.0433917	0.10989	0.0127715	-37.7801	156.934	-205.995	-50.1465	153.819	-225.307
4	2.11493	15.5887	0.0660382	0.0770217	0.0119142	-50.1465	153.819	-225.307	-57.427	149.88	-238.299
5	1.9513	9.16338	0.0753572	-0.178055	0.00996217	-57.427	149.88	-238.299	-61.1291	150.105	-246.579
6	1.85713	9.78232	0.0856121	-0.402857	0.0152713	-61.1291	150.105	-246.579	-67.1898	145.206	-252.245
7	1.69297	12.6504	0.108622	0.137525	0.0199945	-67.1898	145.206	-252.245	-74.9689	143.336	-261.722
8	1.64554	21.3711	0.0691715	0.270088	0.0248505	-74.9689	143.336	-261.722	-85.1369	133.776	-277.216
9	1.49006	37.5956	0.107033	0.0592143	0.0511559	-85.1369	133.776	-277.216	-109.479	127.55	-302.67
10	1.45724	5.68043	0.224225	-0.233733	0.0683634	-109.479	127.55	-302.67	-110.172	127.01	-307.914
11	1.61615	2.70073	0.109802	0	0.00503856	-109.479	127.55	-302.67	-112.073	127.713	-301.988
12	1.53537	28.8789	0.0910462	-0.117654	0.0313068	-85.1369	133.776	-277.216	-91.1302	110.484	-291.557
13	1.49897	39.7798	0.0693057	0.0782435	0.0147825	-74.9689	143.336	-261.722	-109.128	144.168	-280.935
14	1.64663	22.1487	0.0851284	-0.164626	0.0264126	-67.1898	145.206	-252.245	-81.5993	130.5	-258.705
15	1.56177	19.3368	0.0935383	0.149248	0.052647	-81.5993	130.5	-258.705	-98.4002	123.077	-258.987
16	1.53587	20.4223	0.103269	0.194502	0.044931	-81.5993	130.5	-258.705	-92.7063	114.439	-259.515
17	1.69788	17.619	0.072905	0.674581	0.0110395	-61.1291	150.105	-246.579	-61.7403	159.216	-261.422
18	1.50043	18.7732	0.0990629	-0.126203	0.0147124	-61.7403	159.216	-261.422	-73.3585	157.291	-275.691
19	1.53768	23.0196	0.104798	-0.0395472	0.0510338	-61.7403	159.216	-261.422	-54.5094	177.551	-270.975
20	1.56276	30.2817	0.10943	0.0799617	0.0401166	-57.427	149.88	-238.299	-73.7254	125.872	-240.658
21	2.22492	11.9768	0.125208	-0.0937685	0.0720115	-50.1465	153.819	-225.307	-48.9586	146.403	-233.578
22	1.75144	17.1723	0.090317	0.317525	0.0388764	-48.9586	146.403	-233.578	-55.9033	131.505	-235.326
23	1.60061	24.6897	0.0773519	-0.259068	0.0404539	-55.9033	131.505	-235.326	-66.4581	110.282	-234.192
24	1.54305	35.4477	0.102667	-0.149676	0.0468585	-55.9033	131.505	-235.326	-62.8559	103.548	-253.121
25	2.09497	15.0174	0.0499957	0.0624369	0.0219965	-50.1465	153.819	-225.307	-63.1253	155.387	-232.016
26	1.84798	9.80525	0.131664	-0.248172	0.0283557	-63.1253	155.387	-232.016	-67.168	161.308	-238.301
27	1.73802	12.2796	0.0856244	-0.229245	0.0164819	-67.168	161.308	-238.301	-74.7024	166.206	-246.375
28	1.55086	27.8506	0.0875669	0.279226	0.0780763	-74.7024	166.206	-246.375	-87.7895	182.829	-261.2
29	1.84842	4.0111	0.130396	0	0.00946801	-67.168	161.308	-238.301	-66.526	165.182	-237.695
30	1.49792	7.99565	0.114897	0.318831	0.0217042	-66.526	165.182	-237.695	-72.1107	170.63	-237.08
31	1.57984	4.56687	0.0675454	0	0.00635323	-66.526	165.182	-237.695	-63.0399	167.537	-239.397
32	2.03812	5.28877	0.0651485	0	0.00642092	-63.1253	155.387	-232.016	-67.9468	153.335	-232.416
33	1.67081	15.7053	0.0810534	0.249454	0.0161552	-67.9468	153.335	-232.416	-82.4356	153.199	-237.795
