CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
0	129.816	6.11008	3.79407	1.20224	0.0830473	8.44878	180.825	-55.2179	11.9583	155.962	-172.421
1	25.1455	7.58649	0.0132096	-0.00109147	0.00173	11.9583	155.962	-172.421	33.1068	158.195	-185.758
2	52.8952	5.73326	0.0216902	-0.00123334	0.0160013	11.9583	155.962	-172.421	-32.4412	162.092	-198.908
3	18.3565	3.96761	0.0568488	0	0.0701285	33.1068	158.195	-185.758	46.3661	160.422	-175.105
4	28.077	5.55836	0.0363137	-0.0168196	0.0550491	33.1068	158.195	-185.758	41.3557	160.819	-210.922
5	13.5136	4.31846	0.0427918	-0.137882	0.00327468	-32.4412	162.092	-198.908	-39.4202	154.96	-207.955
6	4.59703	3.7367	0.0193286	0	0.0017658	46.3661	160.422	-175.105	48.2442	157.722	-171.904
7	11.1446	2.74824	0.055902	0.136954	0.0258566	46.3661	160.422	-175.105	53.6332	168.427	-176.166
8	10.133	4.14474	0.028884	0	0.00837736	41.3557	160.819	-210.922	45.9815	154.469	-217.188
9	24.4937	2.84051	0.0510056	-0.285484	0.0592402	41.3557	160.819	-210.922	55.3799	178.731	-215.072
10	9.01114	2.98471	0.0575881	0	0.038748	-39.4202	154.96	-207.955	-40.4843	147.066	-204.517
11	22.4988	3.16418	0.0686178	-0.0222429	0.0583713	-39.4202	154.96	-207.955	-50.1313	153.165	-226.229
12	13.3103	2.43635	0.0739764	0.107986	0.0756307	48.2442	157.722	-171.904	52.8975	146.686	-168.796
13	13.019	2.11776	0.0882563	0.142444	0.0743879	48.2442	157.722	-171.904	50.683	161.426	-160.627
14	14.4347	2.34178	0.0591864	0.440035	0.0274917	53.6332	168.427	-176.166	57.7906	181.606	-173.638
15	14.5532	1.87064	0.0698089	0.990149	0.0048328	53.6332	168.427	-176.166	67.8835	166.743	-174.203
16	9.62996	3.23169	0.0717409	0.0847296	0.0724542	45.9815	154.469	-217.188	47.7516	154.316	-225.99
17	9.07523	2.3676	0.0819635	0	0.0791167	45.9815	154.469	-217.188	47.4458	146.62	-214.547
